source,sample_variant,n,wins,mean_kda,median_kda,mean_damage_per_min,win_rate,win_rate_ci_low,win_rate_ci_high
EU,all_targets,928359,489639,3.8650456553015493,2.5,729.373142750331,0.5274241968893499,0.5264085248191133,0.5284396420032322
EU,game_complete_only,928355,489639,3.8650469588789966,2.5,729.3750611697468,0.5274264694001756,0.5264107953861307,0.5284419164380812
EU,target_at_least_10m,917119,483965,3.9076312010874275,2.5,736.6411493644148,0.5277014215167279,0.5266795739696162,0.5287230370036069
EU,target_at_least_5m,919327,485111,3.901916205561351,2.5,735.5507913960274,0.5276805750293421,0.5266599531922588,0.5287009655377582
KR,all_targets,113113,59808,3.9036876222944787,2.5555555555555554,691.0070845415967,0.5287455906924934,0.5258356690659863,0.5316535599129485
KR,game_complete_only,113109,59808,3.9037785206063353,2.5555555555555554,691.0233236107706,0.5287642893138477,0.525854321860793,0.5316723030217487
KR,target_at_least_10m,112177,59330,3.9327014571073278,2.6,695.6240817199534,0.5288962978150601,0.5259743033665443,0.5318163132458278
KR,target_at_least_5m,112344,59419,3.929295894935158,2.5714285714285716,695.030979761427,0.5289023000783308,0.5259824807060495,0.5318201429641193
NA,all_targets,118951,62424,3.9320999797912286,2.5,707.7864986373006,0.524787517549243,0.5219488456497196,0.5276245885012679
NA,game_complete_only,118947,62424,3.9320993778417814,2.5,707.7940132760898,0.5248051653257333,0.5219664500943129,0.5276422784159671
NA,target_at_least_10m,117385,61665,3.9787993187330595,2.5714285714285716,715.454348471276,0.5253226562167228,0.5224652434260338,0.5281784116788296
NA,target_at_least_5m,117706,61830,3.9721571092055323,2.5714285714285716,714.2694603856787,0.5252918287937743,0.522438308019917,0.5281436987707636
