source,n_gaps,n_at_or_below,history_scope,threshold_minutes,pct_at_or_below
NA,118951,48927,ranked_420_plus_440,10,41.132062782153994
EU,928359,392570,ranked_420_plus_440,10,42.28644306782182
KR,113113,46930,ranked_420_plus_440,10,41.48948396736007
EU,928359,466480,ranked_420_plus_440,15,50.24780284351205
KR,113113,57987,ranked_420_plus_440,15,51.26466453900082
NA,118951,59395,ranked_420_plus_440,15,49.932325075030896
NA,118951,64249,ranked_420_plus_440,20,54.012996948323256
EU,928359,500011,ranked_420_plus_440,20,53.859659894502016
KR,113113,62517,ranked_420_plus_440,20,55.269509251810135
NA,118951,68629,ranked_420_plus_440,30,57.69518541248077
EU,928359,533171,ranked_420_plus_440,30,57.431553957036016
KR,113113,66959,ranked_420_plus_440,30,59.19655565673265
EU,928359,569734,ranked_420_plus_440,45,61.370008800474814
KR,113113,70955,ranked_420_plus_440,45,62.72930609213795
NA,118951,72724,ranked_420_plus_440,45,61.13777942177872
NA,118951,75454,ranked_420_plus_440,60,63.432842094644016
EU,928359,594373,ranked_420_plus_440,60,64.0240467319216
KR,113113,73569,ranked_420_plus_440,60,65.04026946504823
NA,118951,78830,ranked_420_plus_440,90,66.27098553185766
EU,928359,625528,ranked_420_plus_440,90,67.3799683096733
KR,113113,76855,ranked_420_plus_440,90,67.94532900727592
NA,118951,81045,ranked_420_plus_440,120,68.13309682138024
EU,928359,645973,ranked_420_plus_440,120,69.58224135275255
KR,113113,78918,ranked_420_plus_440,120,69.76916888421313
EU,928359,671866,ranked_420_plus_440,180,72.37135633951952
KR,113113,81722,ranked_420_plus_440,180,72.24810587642446
NA,118951,83847,ranked_420_plus_440,180,70.48868861968374
NA,118951,87768,ranked_420_plus_440,360,73.78500390917269
EU,928359,707126,ranked_420_plus_440,360,76.16945599708734
KR,113113,85746,ranked_420_plus_440,360,75.80561031888466
NA,118951,91740,ranked_420_plus_440,720,77.12419399584702
EU,928359,742736,ranked_420_plus_440,720,80.00525658716079
KR,113113,89858,ranked_420_plus_440,720,79.44091306923166
NA,118951,104196,ranked_420_plus_440,1440,87.59573269665661
EU,928359,841916,ranked_420_plus_440,1440,90.68862368975795
KR,113113,100460,ranked_420_plus_440,1440,88.8138410262304
NA,118822,48849,solo420_only,10,41.11107370688929
EU,927661,391773,solo420_only,10,42.23234565212939
KR,113025,46884,solo420_only,10,41.481088254810885
EU,927661,465416,solo420_only,15,50.17091372818303
KR,113025,57919,solo420_only,15,51.24441495244415
NA,118822,59280,solo420_only,15,49.88975105620171
EU,927661,498795,solo420_only,20,53.76910315298369
KR,113025,62443,solo420_only,20,55.24706923247069
NA,118822,64116,solo420_only,20,53.95970443183922
NA,118822,68471,solo420_only,30,57.62485061688913
EU,927661,531761,solo420_only,30,57.32277200399715
KR,113025,66868,solo420_only,30,59.162132271621324
NA,118822,72538,solo420_only,45,61.04761744458097
EU,927661,568133,solo420_only,45,61.243600841255585
KR,113025,70855,solo420_only,45,62.689670426896704
EU,927661,592630,solo420_only,60,63.88432843463291
KR,113025,73459,solo420_only,60,64.99358548993585
NA,118822,75257,solo420_only,60,63.335914224638536
NA,118822,78606,solo420_only,90,66.15441584891687
EU,927661,623569,solo420_only,90,67.21949074069083
KR,113025,76735,solo420_only,90,67.8920592789206
NA,118822,80807,solo420_only,120,68.00676642372625
EU,927661,643852,solo420_only,120,69.40595756423953
KR,113025,78787,solo420_only,120,69.70758681707586
NA,118822,83606,solo420_only,180,70.36239080304993
EU,927661,669677,solo420_only,180,72.18984090093257
KR,113025,81585,solo420_only,180,72.18314532183145
NA,118822,87523,solo420_only,360,73.65891838211779
EU,927661,704956,solo420_only,360,75.9928465247542
KR,113025,85604,solo420_only,360,75.73899579738996
NA,118822,91476,solo420_only,720,76.9857433808554
EU,927661,740237,solo420_only,720,79.7960677445748
KR,113025,89693,solo420_only,720,79.3567794735678
NA,118822,103746,solo420_only,1440,87.31211391829795
EU,927661,838568,solo420_only,1440,90.39595283190735
KR,113025,100193,solo420_only,1440,88.6467595664676
