source,volume_bucket_num,n,wins,mean_kda,median_kda,mean_damage_per_min,mean_cs_per_min,mean_gold_per_min,window_hours,recent_games,win_rate,win_rate_ci_low,win_rate_ci_high
EU,1,200283,105292,3.8706049132965443,2.5,727.3844714539831,6.1335561026065015,420.46108337728435,3,1,0.5257161117019418,0.5235287799150063,0.5279024570298227
NA,3,15220,8006,4.0147522778974665,2.5714285714285716,711.7330043816689,6.087380675823158,415.4101146036146,3,3,0.526018396846255,0.5180801125222267,0.5339435506341652
NA,4,13994,7347,3.962311611498158,2.5714285714285716,704.516930333694,6.080850802792943,415.9392132092584,3,4,0.5250107188795198,0.5167312233326194,0.5332764869318011
NA,6,843,436,3.7654618035845804,2.4,692.7692227231713,6.1877718642158515,414.6606259551716,3,6+,0.5172004744958482,0.4834665595725341,0.5507783391602055
KR,2,17856,9363,3.8702028929307977,2.5,694.4520848003739,6.0154569822311075,410.9411423750365,3,2,0.524361559139785,0.5170320668837971,0.5316805715797612
EU,2,155590,82184,3.864830869941555,2.5,730.7540678245128,6.165179972293779,422.694627272554,3,2,0.5282087537759496,0.5257276120937793,0.5306885025653807
NA,0,36270,19005,3.9240322675110746,2.5,704.5337722777545,6.034389192075112,410.9749058817108,3,0,0.5239867659222498,0.5188447236593096,0.5291237277101245
NA,5,7729,4103,3.8559599736693073,2.5,709.5083112342111,6.13533528428265,416.1790765264406,3,5,0.5308578082546255,0.5197195208564375,0.5419654370649353
KR,1,23829,12502,3.887241592146672,2.5,686.8573313120221,5.993000838935042,409.1575388126191,3,1,0.52465483234714,0.5183106775681695,0.5309910392258691
EU,3,126651,66912,3.8529943272869542,2.5,735.5682295190255,6.203697559794827,424.7975869470215,3,3,0.528317976170737,0.5255678967992821,0.5310663377659413
EU,4,111851,59500,3.8626864474455265,2.5,739.6941219891074,6.211867255211545,426.69477260833406,3,4,0.531957693717535,0.5290324314809766,0.5348807608919429
EU,6,6708,3529,3.6238312118093825,2.4,745.8581823890396,6.279253360388053,428.5175311909118,3,6+,0.5260882528324389,0.514127785926929,0.5380188570096426
NA,1,25798,13478,3.9168878834231133,2.5,710.1067885562893,6.0352237165361755,412.2808697959822,3,1,0.5224436002790914,0.5163455235327329,0.5285349940787
KR,5,9397,5022,3.7863837112991385,2.5,702.0645083468721,6.043941580731854,414.8140654294626,3,5,0.5344258806001916,0.524328498857207,0.5444951274994452
KR,0,32472,17144,3.9863419355261422,2.625,682.0299933046801,5.956264189904603,407.96117473553943,3,0,0.5279625523527962,0.5225297708294612,0.5333887186822788
EU,0,266855,140059,3.8924531094194177,2.5,719.7908582070077,6.080217663111737,417.8849464259916,3,0,0.5248505742819134,0.5229555174793543,0.5267449156316342
EU,5,60421,32163,3.7825319002457105,2.5,740.8081079723714,6.233652204416052,427.67009827168687,3,5,0.5323149236192715,0.5283345331667395,0.5362912052832529
NA,2,19097,10049,3.918132871087223,2.5,710.0464211997696,6.038776165000498,412.4360990862131,3,2,0.5262083049693669,0.5191220351065409,0.5332840330846456
KR,3,14488,7745,3.9116179234785933,2.5714285714285716,697.1621094586669,6.039120888388959,412.80602911187043,3,3,0.5345803423522916,0.5264500651180103,0.5426922866560714
KR,4,12954,6912,3.859987457290647,2.5,702.8408909642478,6.116528778301578,415.34348185417946,3,4,0.5335803612783696,0.5249808566549322,0.5421599555524722
KR,6,2117,1120,3.8372480881334314,2.5,682.7401553192569,5.878304133288016,410.7938831286863,3,6+,0.5290505432215399,0.5077541805487329,0.5502416679803668
