source,depth_bucket_num,n,wins,mean_kda,median_kda,mean_damage_per_min,mean_cs_per_min,mean_gold_per_min,history_scope,threshold_minutes,session_depth,win_rate,win_rate_ci_low,win_rate_ci_high
EU,5,46354,24762,3.8423773166361084,2.5,741.9299086653245,6.22854099792427,426.70335339640195,ranked_420_plus_440,30,5,0.5341933813694612,0.5296496822841571,0.5387314135616427
NA,2,25297,13235,3.9351190960283287,2.5,706.8898954139461,6.011330538008453,411.82798818472577,ranked_420_plus_440,30,2,0.5231845673400007,0.5170266815745419,0.5293354128209806
KR,3,13913,7330,3.8680298308131453,2.5555555555555554,695.111323915686,6.034990892110778,412.02436015502724,ranked_420_plus_440,30,3,0.5268453963918637,0.5185428971916957,0.5351330753492245
KR,4,8988,4858,3.8635232277343343,2.5714285714285716,698.9738272486741,6.039208749862129,413.38528493712346,ranked_420_plus_440,30,4,0.5404984423676013,0.5301804796430997,0.5507818019244713
KR,6,4148,2202,3.7413069568925974,2.5,701.1034571449843,6.04734357729603,413.5856986569179,ranked_420_plus_440,30,6,0.5308582449373191,0.5156497622856718,0.5460096248896552
EU,3,113374,59949,3.83872620437871,2.5,733.100135016937,6.182307559900284,423.3638691311562,ranked_420_plus_440,30,3,0.5287720288602326,0.5258654676307939,0.5316766403865787
EU,4,70653,37355,3.836440117509978,2.5,736.9154672250183,6.211033677140118,425.244992321594,ranked_420_plus_440,30,4,0.5287107412282565,0.5250285359107906,0.5323898246645892
EU,6,31266,16668,3.8472829210043313,2.5,741.3132601853242,6.232493005253538,427.186536429678,ranked_420_plus_440,30,6,0.5331030512377662,0.5275692858395755,0.5386286833035039
NA,7,2684,1413,3.9304395915114663,2.5,708.1581247591048,6.133806527241316,416.6762473589319,ranked_420_plus_440,30,7,0.5264530551415797,0.507539313066004,0.5452911838868568
NA,1,50322,26274,3.9256699776365966,2.5,705.4577014711158,6.053817589528014,411.58540727433575,ranked_420_plus_440,30,1,0.5221175628949565,0.5177517485624716,0.5264800006835182
NA,8,7719,4065,3.811888504701779,2.5,702.2642236911904,6.13741919900939,415.3742787428726,ranked_420_plus_440,30,8+,0.5266226195102993,0.5154737841514941,0.5377449698772544
KR,5,6062,3252,3.835960600277732,2.5,701.1339156358065,6.050779611466471,413.3753592148898,ranked_420_plus_440,30,5,0.5364566149785549,0.5238843343435617,0.5489827201287014
EU,2,195318,103121,3.8814622103653593,2.5,728.4669117323045,6.142908830878966,421.3782674335754,ranked_420_plus_440,30,2,0.5279646525153852,0.5257501801803173,0.5301780248704377
NA,5,5764,3049,3.9590499404848822,2.5714285714285716,705.5732961511246,6.048114251324134,415.20808813738927,ranked_420_plus_440,30,5,0.528972935461485,0.5160716900245919,0.5418355881807093
KR,1,46154,24242,3.945917315651933,2.6,685.4480678800711,5.983579116513163,408.84897454083887,ranked_420_plus_440,30,1,0.5252415825280582,0.5206839269733009,0.5297950366515186
KR,7,2876,1534,3.8747722619504055,2.5,697.5672707782433,6.102415785971377,413.65022904280363,ranked_420_plus_440,30,7,0.5333796940194715,0.5151144643603439,0.5515558724430664
KR,8,7466,4016,3.8947115213530776,2.5555555555555554,700.6202363515649,6.0170547110585595,415.47796966754834,ranked_420_plus_440,30,8+,0.5379051701044736,0.5265796124096708,0.5491917413894977
EU,1,395188,207330,3.883474191656736,2.5,722.7281875988069,6.102372943002685,419.14438395481176,ranked_420_plus_440,30,1,0.5246363755984493,0.5230791444709383,0.5261931277706154
EU,7,21612,11480,3.8470746815198487,2.5,744.3335578967902,6.255365438675627,427.95176766561957,ranked_420_plus_440,30,7,0.5311863779381825,0.5245283224620468,0.5378333488412891
EU,8,54594,28974,3.801125625075566,2.5,739.7932871427001,6.22003241699072,427.9478023190607,ranked_420_plus_440,30,8+,0.5307176612814595,0.5265294030125368,0.5349015970120646
NA,3,14435,7688,3.9748616682916458,2.5714285714285716,716.3835441609323,6.055049472705124,414.5659873002316,ranked_420_plus_440,30,3,0.5325943886387253,0.5244475345190704,0.5407238992613832
NA,4,8822,4626,3.9059564525871995,2.5,710.1288154518573,6.055876284401094,414.3775403594249,ranked_420_plus_440,30,4,0.5243708909544321,0.5139413382467724,0.5347792287389683
NA,6,3908,2074,4.095252101947008,2.5714285714285716,720.4514747360552,6.1490636725262755,419.69587727662037,ranked_420_plus_440,30,6,0.5307062436028659,0.5150371336665257,0.5463150459978191
KR,2,23506,12374,3.909742566457632,2.5,688.1974188584284,5.996306527860701,409.79230890405324,ranked_420_plus_440,30,2,0.5264187866927593,0.5200320369399268,0.5327969028968415
EU,5,51531,27539,3.8541980899138504,2.5,741.3798611225675,6.230723130286794,426.47024129126294,ranked_420_plus_440,45,5,0.5344161766703538,0.53010699242411,0.5387202300838754
KR,3,14221,7479,3.874519081024468,2.5454545454545454,695.2625059643341,6.025051067813952,411.8077967995955,ranked_420_plus_440,45,3,0.5259123830954222,0.5176997817295016,0.534110989036101
KR,4,9530,5144,3.851992053838389,2.5714285714285716,697.1941863877457,6.028689666804063,412.86560330503494,ranked_420_plus_440,45,4,0.539769150052466,0.5297483681473532,0.5497578836897488
KR,6,4634,2451,3.732137796931738,2.5,699.4874858639376,6.058063305465207,413.5146412453765,ranked_420_plus_440,45,6,0.5289167026327147,0.5145268380911546,0.5432586645784746
NA,2,24760,12974,3.923021857323198,2.5,708.0243522872704,6.016459944745086,411.7855524595651,ranked_420_plus_440,45,2,0.5239903069466882,0.5177663233616057,0.5302068476012074
EU,3,116273,61433,3.841190344247975,2.5,732.1015081840752,6.180218829389755,422.9421729254351,ranked_420_plus_440,45,3,0.528351379942033,0.5254811680687147,0.5312197185161253
EU,4,75592,40006,3.834267924414744,2.5,736.3250745294024,6.20889264564791,424.9991724169799,ranked_420_plus_440,45,4,0.529235897978622,0.5256762521749324,0.5327925724945793
EU,6,35950,19097,3.855470930414259,2.5,739.4920606655556,6.228057234846132,426.76617490885735,ranked_420_plus_440,45,6,0.5312100139082059,0.5260484835179251,0.5363648750816044
KR,5,6595,3534,3.852039002079253,2.5,698.4431377680284,6.022212529715428,412.47723059463027,ranked_420_plus_440,45,5,0.5358605003790751,0.5238068705805888,0.5478723784136023
NA,7,3133,1651,3.9033870338025864,2.5,706.4469099776136,6.1453767101268095,416.45471954086105,ranked_420_plus_440,45,7,0.5269709543568465,0.5094660374612263,0.5444098125677184
NA,1,46227,24159,3.9257637711375604,2.5,704.5771552010287,6.044991482551632,411.201987287628,ranked_420_plus_440,45,1,0.5226166526056201,0.5180616702304647,0.5271678764102236
NA,8,9982,5267,3.9023902261178054,2.5,704.2633759691511,6.133931223859061,416.50976903398134,ranked_420_plus_440,45,8+,0.5276497695852534,0.517847368563087,0.5374308973974052
EU,2,191116,100760,3.8814340413903237,2.5,727.9662793580367,6.139395600894866,421.1017556373176,ranked_420_plus_440,45,2,0.5272190711400406,0.5249802114083154,0.5294568366793458
KR,1,42158,22217,3.9566539947735513,2.6,684.6345716564438,5.976339718968898,408.5746405120458,ranked_420_plus_440,45,1,0.5269936904027706,0.5222255546715019,0.5317569072241192
KR,7,3261,1744,3.8813651179505992,2.5,704.7638136542039,6.125189391816999,414.9331510276725,ranked_420_plus_440,45,7,0.5348052744556885,0.5176549717597554,0.5518736723913134
KR,8,9778,5230,3.88669707760336,2.5555555555555554,700.5136838388574,6.066944782719781,416.29641815010865,ranked_420_plus_440,45,8+,0.5348742074043772,0.524976136294346,0.5447448873872444
NA,5,6301,3316,3.9369738002797896,2.5714285714285716,706.7096635601694,6.054232992202153,415.56791354257035,ranked_420_plus_440,45,5,0.5262656721155372,0.5139248278988586,0.5385745096597281
EU,1,358625,188213,3.8851402589157735,2.5,722.3053553501345,6.0956124660150435,418.82094820050946,ranked_420_plus_440,45,1,0.5248184036249565,0.5231837322479089,0.5264525433165148
EU,7,25671,13626,3.854911876295392,2.5,741.8650833250942,6.246307045486851,427.42721238221935,ranked_420_plus_440,45,7,0.5307935023956994,0.5246845491502514,0.5368932410197769
EU,8,73601,38965,3.809681058230972,2.5,738.3083445731683,6.207289332767519,427.4612307785438,ranked_420_plus_440,45,8+,0.529408567818372,0.5258011433404655,0.5330129226122737
KR,2,22936,12009,3.9058248753256306,2.5,687.6506927228387,5.991717580843484,409.30728094682183,ranked_420_plus_440,45,2,0.5235873735612138,0.5171203488998571,0.5300464984361323
NA,3,14756,7803,3.94219612106065,2.5555555555555554,715.7738354196076,6.049075596073865,413.8544253742802,ranked_420_plus_440,45,3,0.5288018433179723,0.5207413842138238,0.5368473102427842
NA,4,9383,4902,3.9211337008751515,2.5,709.7878090915638,6.063821950056739,414.5508464830664,ranked_420_plus_440,45,4,0.5224341894916338,0.512320366400109,0.5325296507059529
NA,6,4409,2352,4.119763087591425,2.6,719.5759077250426,6.140100891526804,418.6705763162647,ranked_420_plus_440,45,6,0.5334542980267635,0.5187059321360652,0.5481444187666018
EU,5,54923,29358,3.8603811915315744,2.5,741.2064550404264,6.233806488680641,426.3667759060414,ranked_420_plus_440,60,5,0.5345301604063871,0.530356288828527,0.5386992020619087
NA,2,24299,12727,3.924452148362764,2.5,708.6903915165336,6.017349005235025,411.8249006799427,ranked_420_plus_440,60,2,0.523766410140335,0.5174835379196541,0.5300417690267398
KR,3,14385,7585,3.8687546147611704,2.5714285714285716,694.4137599249227,6.01691302389179,411.3693488230277,ranked_420_plus_440,60,3,0.5272853667014251,0.5191205699723701,0.5354355944169996
