source,target_rows,first_game_targets,deeper_session_targets,depth_3plus_targets,depth_5plus_targets,mean_session_game_no,median_session_game_no,p90_session_game_no,max_session_game_no,history_scope,threshold_minutes,pct_deeper_session,pct_depth_3plus,pct_depth_5plus
NA,118951,50322,68629,43332,20075,2.8446587250212274,2.0,6.0,49,ranked_420_plus_440,30,57.69518541248077,36.428445326226765,16.87669712738859
EU,928359,395188,533171,337853,153826,2.7745850473793006,2.0,6.0,72,ranked_420_plus_440,30,57.431553957036016,36.392494713790676,16.569667553177165
KR,113113,46154,66959,43453,20552,2.9179846701970598,2.0,6.0,39,ranked_420_plus_440,30,59.19655565673265,38.41556673415081,18.169441178290736
NA,118951,46227,72724,47964,23825,3.150398063067986,2.0,7.0,61,ranked_420_plus_440,45,61.13777942177872,40.322485729418,20.029255743961798
EU,928359,358625,569734,378618,186753,3.091819005363227,2.0,7.0,72,ranked_420_plus_440,45,61.370008800474814,40.78357618119715,20.11646356635741
KR,113113,42158,70955,48019,24268,3.2334214458108264,2.0,7.0,52,ranked_420_plus_440,45,62.72930609213795,42.452238027459266,21.45465154314712
NA,118951,43497,75454,51155,26490,3.361484981210751,2.0,7.0,61,ranked_420_plus_440,60,63.432842094644016,43.00510294154736,22.26967406747316
EU,928359,333986,594373,407843,211938,3.3396886333842835,2.0,7.0,81,ranked_420_plus_440,60,64.0240467319216,43.93160404541778,22.829314952512984
KR,113113,39544,73569,51038,26842,3.455005171819331,2.0,8.0,52,ranked_420_plus_440,60,65.04026946504823,45.121250430984944,23.73025204883612
NA,118951,40121,78830,55304,30205,3.6676110331144756,2.0,8.0,61,ranked_420_plus_440,90,66.27098553185766,46.49309379492396,25.392808803625023
EU,928359,302831,625528,446095,246904,3.684067262772268,2.0,8.0,81,ranked_420_plus_440,90,67.3799683096733,48.05199281743377,26.595745826776064
KR,113113,36258,76855,54969,30369,3.765146358066712,2.0,8.0,52,ranked_420_plus_440,90,67.94532900727592,48.59653620715568,26.84837286607198
NA,118951,50480,68471,43146,19936,2.8367647182453277,2.0,6.0,49,solo420_only,30,57.56235760943582,36.272078418844735,16.759842288000943
EU,928359,396598,531761,336270,152705,2.7646201523333107,2.0,6.0,72,solo420_only,30,57.279673057513314,36.22197878191518,16.448916852209113
KR,113113,46245,66868,43333,20438,2.9103993351780963,2.0,6.0,39,solo420_only,30,59.11610513380425,38.30947813248698,18.068657006710104
NA,118951,46413,72538,47736,23641,3.139889534346075,2.0,7.0,61,solo420_only,45,60.98141251439669,40.13081016553034,19.874570201175274
EU,928359,360226,568133,376749,185278,3.0790049969893114,2.0,7.0,72,solo420_only,45,61.19755396349903,40.58225320161705,19.95758106508366
KR,113113,42258,70855,47884,24134,3.2242713039173214,2.0,7.0,52,solo420_only,45,62.640898924084766,42.33288835058747,21.33618593795585
NA,118951,43694,75257,50907,26285,3.3498415313868737,2.0,7.0,61,solo420_only,60,63.267227681986704,42.79661373170465,22.097334196433827
EU,928359,335729,592630,405757,210186,3.3240922961914516,2.0,7.0,81,solo420_only,60,63.836296088043525,43.70690648768418,22.640594856084768
KR,113113,39654,73459,50888,26688,3.4436890543085235,2.0,8.0,52,solo420_only,60,64.94302158018972,44.988639678905166,23.594105010034212
NA,118951,40345,78606,55016,29961,3.652251767534531,2.0,8.0,61,solo420_only,90,66.08267269716102,46.25097729317114,25.187682322973327
EU,928359,304790,623569,443653,244758,3.664205334358799,2.0,8.0,81,solo420_only,90,67.16895080459176,47.78894802549445,26.364585252041504
KR,113113,36378,76735,54807,30199,3.751796875690681,2.0,8.0,52,solo420_only,90,67.83924040561209,48.453316594909516,26.698080680381565
