model,subgroup,n,tn,fp,fn,tp
majority_baseline,ALL,172009,0,80495,0,91514
majority_baseline,NA,17613,0,8647,0,8966
majority_baseline,KR,16828,0,7735,0,9093
majority_baseline,EU,137568,0,64113,0,73455
historical_win_rate_baseline,ALL,172009,20259,60236,23524,67990
historical_win_rate_baseline,NA,17613,2935,5712,3099,5867
historical_win_rate_baseline,KR,16828,2288,5447,2779,6314
historical_win_rate_baseline,EU,137568,15036,49077,17646,55809
history_tree,ALL,172009,3491,77004,3848,87666
history_tree,NA,17613,418,8229,416,8550
history_tree,KR,16828,344,7391,436,8657
history_tree,EU,137568,2729,61384,2996,70459
behavior_tree,ALL,172009,0,80495,0,91514
behavior_tree,NA,17613,0,8647,0,8966
behavior_tree,KR,16828,0,7735,0,9093
behavior_tree,EU,137568,0,64113,0,73455
combined_tree,ALL,172009,8072,72423,8374,83140
combined_tree,NA,17613,1192,7455,1149,7817
combined_tree,KR,16828,1123,6612,1226,7867
combined_tree,EU,137568,5757,58356,5999,67456
