feature,importance
prior_ranked_mean_damage_per_min,0.36303811415251436
champion_changed_from_prev_ranked,0.17581869755886428
prior_ranked_mean_kda,0.13859212436634943
prior_ranked_mean_gold_per_min,0.11093928893213462
log1p_prior_ranked_matches,0.05687678106704129
role_changed_from_prev_ranked,0.041979479326672196
prev_ranked_gold_per_min,0.029907719547188353
prev_ranked_vision_per_min,0.017102529759304173
prior_ranked_win_rate,0.017017876653420246
log1p_prev_ranked_kda,0.01688064799474029
log1p_prev_ranked_loss_streak,0.014634703898582537
session_depth_30m,0.009251202080183738
log1p_prev_ranked_duration_min,0.004499763048066755
log1p_gap_from_prev_ranked_min,0.0034610716149377635
prev_ranked_win,0.0
prior_ranked_mean_cs_per_min,0.0
prev_queue_was_flex440,0.0
log1p_prev_ranked_win_streak,0.0
prev_ranked_damage_per_min,0.0
prev_ranked_cs_per_min,0.0
ranked_games_prev_6h_capped,0.0
previous_ranked_was_loss,0.0
ranked_minutes_prev_6h,0.0
log1p_post_loss_gap_min,0.0
region_KR,0.0
region_NA,0.0
patch_15.21,0.0
patch_15.22,0.0
patch_15.23,0.0
patch_15.24,0.0
patch_16.1,0.0
