source,n_gaps,n_at_or_below,threshold_minutes,pct_at_or_below
NA,118951,48927,10,41.132062782153994
EU,928359,392570,10,42.28644306782182
KR,113113,46930,10,41.48948396736007
NA,118951,59395,15,49.932325075030896
EU,928359,466480,15,50.24780284351205
KR,113113,57987,15,51.26466453900082
EU,928359,500011,20,53.859659894502016
KR,113113,62517,20,55.269509251810135
NA,118951,64249,20,54.012996948323256
NA,118951,68629,30,57.69518541248077
EU,928359,533171,30,57.431553957036016
KR,113113,66959,30,59.19655565673265
NA,118951,72724,45,61.13777942177872
EU,928359,569734,45,61.370008800474814
KR,113113,70955,45,62.72930609213795
NA,118951,75454,60,63.432842094644016
EU,928359,594373,60,64.0240467319216
KR,113113,73569,60,65.04026946504823
NA,118951,78830,90,66.27098553185766
EU,928359,625528,90,67.3799683096733
KR,113113,76855,90,67.94532900727592
EU,928359,645973,120,69.58224135275255
KR,113113,78918,120,69.76916888421313
NA,118951,81045,120,68.13309682138024
NA,118951,83847,180,70.48868861968374
EU,928359,671866,180,72.37135633951952
KR,113113,81722,180,72.24810587642446
NA,118951,87768,360,73.78500390917269
EU,928359,707126,360,76.16945599708734
KR,113113,85746,360,75.80561031888466
NA,118951,91740,720,77.12419399584702
EU,928359,742736,720,80.00525658716079
KR,113113,89858,720,79.44091306923166
NA,118951,104196,1440,87.59573269665661
EU,928359,841916,1440,90.68862368975795
KR,113113,100460,1440,88.8138410262304
