source,volume_bucket_num,n,wins,mean_kda,mean_damage_per_min,window_hours,recent_games,win_rate,win_rate_ci_low,win_rate_ci_high
EU,3,126651,66912,3.852994327286956,735.5682295190276,3,3,0.528317976170737,0.5255678967992821,0.5310663377659413
EU,4,111851,59500,3.862686447445532,739.6941219891061,3,4,0.531957693717535,0.5290324314809766,0.5348807608919429
EU,6,6708,3529,3.623831211809386,745.8581823890394,3,6+,0.5260882528324389,0.514127785926929,0.5380188570096426
NA,1,25798,13478,3.916887883423122,710.1067885562888,3,1,0.5224436002790914,0.5163455235327329,0.5285349940787
KR,0,32472,17144,3.9863419355261422,682.0299933046801,3,0,0.5279625523527962,0.5225297708294612,0.5333887186822788
KR,5,9397,5022,3.7863837112991376,702.0645083468721,3,5,0.5344258806001916,0.524328498857207,0.5444951274994452
EU,1,200283,105292,3.8706049132965497,727.3844714539835,3,1,0.5257161117019418,0.5235287799150063,0.5279024570298227
NA,3,15220,8006,4.014752277897467,711.7330043816698,3,3,0.526018396846255,0.5180801125222267,0.5339435506341652
NA,4,13994,7347,3.962311611498162,704.5169303336936,3,4,0.5250107188795198,0.5167312233326194,0.5332764869318011
NA,6,843,436,3.765461803584579,692.7692227231717,3,6+,0.5172004744958482,0.4834665595725341,0.5507783391602055
KR,2,17856,9363,3.8702028929307986,694.452084800374,3,2,0.524361559139785,0.5170320668837971,0.5316805715797612
EU,0,266855,140059,3.8924531094193986,719.7908582070086,3,0,0.5248505742819134,0.5229555174793543,0.5267449156316342
EU,5,60421,32163,3.782531900245715,740.8081079723727,3,5,0.5323149236192715,0.5283345331667395,0.5362912052832529
NA,2,19097,10049,3.9181328710872347,710.04642119977,3,2,0.5262083049693669,0.5191220351065409,0.5332840330846456
KR,3,14488,7745,3.9116179234785933,697.1621094586669,3,3,0.5345803423522916,0.5264500651180103,0.5426922866560714
KR,4,12954,6912,3.859987457290646,702.8408909642478,3,4,0.5335803612783696,0.5249808566549322,0.5421599555524722
KR,6,2117,1120,3.8372480881334314,682.7401553192569,3,6+,0.5290505432215399,0.5077541805487329,0.5502416679803668
EU,2,155590,82184,3.864830869941554,730.7540678245134,3,2,0.5282087537759496,0.5257276120937793,0.5306885025653807
NA,5,7729,4103,3.8559599736693055,709.508311234211,3,5,0.5308578082546255,0.5197195208564375,0.5419654370649353
NA,0,36270,19005,3.924032267511076,704.5337722777548,3,0,0.5239867659222498,0.5188447236593096,0.5291237277101245
KR,1,23829,12502,3.887241592146672,686.8573313120221,3,1,0.52465483234714,0.5183106775681695,0.5309910392258691
EU,1,168242,88454,3.862093550880643,725.3963322820711,6,1,0.5257545678249189,0.5233679874710667,0.5281399721008261
NA,3,12265,6470,3.920837169157148,709.1531428035033,6,3,0.5275173257236038,0.5186747010438684,0.5363427186746583
NA,4,9440,4968,3.894082199078614,708.3154629474865,6,4,0.5262711864406779,0.5161901704687654,0.536330829821506
NA,6,19473,10242,3.9417520319800987,701.1509466680085,6,6+,0.5259590201817902,0.5189414007888693,0.532966399669307
KR,2,15562,8217,3.89840016097611,690.0022476380536,6,2,0.5280169644004626,0.5201676483266342,0.5358524519876899
EU,4,80181,42541,3.8606706235595194,738.6458807188819,6,4,0.5305621032414163,0.5271063460355294,0.5340149321366914
EU,6,161556,85440,3.8367513934396476,737.7296229386887,6,6+,0.5288568669687291,0.5264221453423815,0.5312902163175955
EU,3,101264,53534,3.8688766819715688,734.0066178956905,6,3,0.5286577658397851,0.5255822259616694,0.5317311315306015
NA,1,22429,11759,3.9315958514922773,711.4689237968236,6,1,0.5242766061794998,0.517737179072672,0.5308077189064381
KR,0,27724,14671,4.005793720165184,680.3891770142684,6,0,0.5291804934352907,0.5233012961113956,0.5350516053361596
KR,5,7431,3831,3.736722545564185,696.0914061404915,6,5,0.5155429955591442,0.5041751196751605,0.5268948098289774
EU,2,128723,67901,3.844356390607825,730.35695522465,6,2,0.5274970285030647,0.5247689523843214,0.530223463492398
NA,0,31568,16545,3.9278466307577817,704.8865267390927,6,0,0.5241066903193107,0.5185948830683876,0.529612631275847
NA,5,7407,3880,4.094761462343971,716.3207059253698,6,5,0.5238288105845822,0.5124456636539771,0.5351872538711773
KR,1,20445,10729,3.884520446991892,687.1892646528584,6,1,0.5247737833211054,0.5179244974709625,0.5316137613120571
EU,5,63775,33738,3.871204249334568,737.2216746470605,6,5,0.529016072128577,0.5251404343345238,0.5328882145927161
EU,0,224618,118031,3.8975499289638047,718.1502932389914,6,0,0.5254743609149757,0.5234088888339252,0.527538961676409
NA,2,16369,8560,3.886270364342305,711.0364904087995,6,2,0.5229397030973181,0.5152836659483666,0.530584975844131
KR,3,12005,6364,3.867677714673565,696.0931827357715,6,3,0.5301124531445232,0.521176370955816,0.5390292702360698
KR,4,9348,4992,3.895390113498677,699.3735423612986,6,4,0.5340179717586649,0.5238937350683801,0.5441142613032994
KR,6,20598,11004,3.8742647877050786,701.2514586305791,6,6+,0.5342266239440723,0.5274087012909149,0.5410317826735082
EU,4,77952,41313,3.861048490049399,737.5063453228547,12,4,0.5299799876847291,0.5264749330169741,0.53348208768261
EU,6,234063,123799,3.861158955916237,737.9523055286915,12,6+,0.5289131558597472,0.5268904966043968,0.5309348660810786
EU,3,96096,50789,3.847072966382463,731.6885251560883,12,3,0.5285235597735598,0.5253663326487057,0.5316785065183711
NA,1,20535,10713,3.9219037134086143,712.1657871851023,12,1,0.5216946676406136,0.5148590323928975,0.5285221876134211
KR,0,23591,12492,4.014000179095541,679.8410030100533,12,0,0.5295239710058921,0.523150457571253,0.5358878708884299
KR,5,7343,3844,3.7674682596222517,693.3279163203342,12,5,0.5234917608606836,0.5120588981895434,0.5349000571566059
EU,2,118849,62620,3.8471344743133526,728.973977064063,12,2,0.5268870583681815,0.5240477180535104,0.5297246606423269
NA,5,7250,3839,4.011325643356554,717.2548943290669,12,5,0.5295172413793103,0.518015409797768,0.5409878097280117
NA,0,27575,14473,3.9294958705705385,704.95885674814,12,0,0.524859474161378,0.5189622478546787,0.5307497751121708
KR,1,18439,9696,3.916677589379754,685.2604849623132,12,1,0.5258419653994252,0.5186300979932863,0.5330430675613744
EU,1,149513,78575,3.8675682913746714,724.5256915381193,12,1,0.5255395851865724,0.5230078496783124,0.5280700083441456
NA,3,11801,6213,3.8999603289079814,709.5752506207549,12,3,0.5264808067112956,0.5174652286294673,0.5354791503509885
NA,4,9300,4862,3.8926254815621517,711.1566817979491,12,4,0.5227956989247312,0.5126370051659144,0.5329355684722594
NA,6,27119,14275,3.959357926529726,700.1133125768634,12,6+,0.5263837162137247,0.5204378087872584,0.5323221500899343
KR,2,14493,7684,3.9105963691639007,689.3275096500465,12,2,0.530186986821224,0.5220546370380231,0.538303338351685
EU,5,62687,33154,3.862155604385981,734.649682187751,12,5,0.5288815862938089,0.524972394255564,0.5327872388222357
EU,0,189199,99389,3.8908446856461048,716.5658024157126,12,0,0.5253146158277792,0.5230640270995214,0.5275641766110705
NA,2,15371,8049,3.9134926788401527,712.668096010316,12,2,0.5236484288595407,0.5157479845157619,0.5315370559152023
KR,3,11475,6051,3.859113606728751,695.790165762519,12,3,0.5273202614379084,0.5181779809226581,0.5364442561950253
KR,4,9138,4845,3.902168918563063,697.4381121120504,12,4,0.5302035456336178,0.5199600970499085,0.5404216107806721
KR,6,28634,15196,3.854221586269511,700.1929546001329,12,6+,0.5306977718795837,0.5249136519369267,0.5364736562695204
EU,1,89348,47079,3.849377454130961,721.9427617899918,24,1,0.5269172225455522,0.5236423860213116,0.5301897445925466
NA,6,49493,26043,3.988144438330018,703.9765749980872,24,6+,0.5261956236235428,0.5217948075143479,0.53059237363856
NA,3,10579,5560,3.8979604495710296,709.1115478530287,24,3,0.5255695245297287,0.5160465632903759,0.5350739228385251
NA,4,9105,4715,3.9013180831741257,710.9737435141765,24,4,0.5178473366282262,0.5075783348162449,0.528101284976158
KR,2,10726,5631,3.895003773904544,680.9393531923236,24,2,0.5249860152899497,0.5155282254634826,0.5344259143117488
