source,depth_bucket_num,n,wins,mean_kda,mean_damage_per_min,threshold_minutes,session_depth,win_rate,win_rate_ci_low,win_rate_ci_high
NA,1,50322,26274,3.9256699776365984,705.4577014711163,30,1,0.5221175628949565,0.5177517485624716,0.5264800006835182
NA,7,2684,1413,3.9304395915114636,708.1581247591045,30,7,0.5264530551415797,0.507539313066004,0.5452911838868568
NA,8,7719,4065,3.811888504701777,702.2642236911898,30,8+,0.5266226195102993,0.5154737841514941,0.5377449698772544
EU,3,113374,59949,3.8387262043787134,733.1001350169388,30,3,0.5287720288602326,0.5258654676307939,0.5316766403865787
EU,4,70653,37355,3.836440117509978,736.9154672250177,30,4,0.5287107412282565,0.5250285359107906,0.5323898246645892
EU,6,31266,16668,3.8472829210043327,741.313260185325,30,6,0.5331030512377662,0.5275692858395755,0.5386286833035039
KR,5,6062,3252,3.835960600277732,701.1339156358065,30,5,0.5364566149785549,0.5238843343435617,0.5489827201287014
NA,3,14435,7688,3.9748616682916458,716.3835441609332,30,3,0.5325943886387253,0.5244475345190704,0.5407238992613832
NA,4,8822,4626,3.905956452587203,710.1288154518569,30,4,0.5243708909544321,0.5139413382467724,0.5347792287389683
NA,6,3908,2074,4.09525210194701,720.4514747360555,30,6,0.5307062436028659,0.5150371336665257,0.5463150459978191
EU,1,395188,207330,3.883474191656747,722.7281875988083,30,1,0.5246363755984493,0.5230791444709383,0.5261931277706154
EU,7,21612,11480,3.8470746815198513,744.3335578967899,30,7,0.5311863779381825,0.5245283224620468,0.5378333488412891
EU,8,54594,28974,3.8011256250755663,739.7932871427028,30,8+,0.5307176612814595,0.5265294030125368,0.5349015970120646
KR,2,23506,12374,3.909742566457632,688.1974188584284,30,2,0.5264187866927593,0.5200320369399268,0.5327969028968415
NA,2,25297,13235,3.9351190960283358,706.8898954139464,30,2,0.5231845673400007,0.5170266815745419,0.5293354128209806
EU,5,46354,24762,3.842377316636108,741.9299086653226,30,5,0.5341933813694612,0.5296496822841571,0.5387314135616427
KR,3,13913,7330,3.8680298308131453,695.111323915686,30,3,0.5268453963918637,0.5185428971916957,0.5351330753492245
KR,4,8988,4858,3.8635232277343343,698.9738272486742,30,4,0.5404984423676013,0.5301804796430997,0.5507818019244713
KR,6,4148,2202,3.741306956892597,701.1034571449843,30,6,0.5308582449373191,0.5156497622856718,0.5460096248896552
