source,hypothesis,specification,parameter_setting,n_rows,n_players,n_physical_matches,n_predictors_after_within_transform,within_r2,dropped_no_within_variation
NA,H1_session_depth,behavior_only,30m_session_boundary,117385,1482,61033,7,3.226490575625185e-05,
NA,H1_session_depth,adjusted,30m_session_boundary,117385,1482,61033,20,0.0031397727471180747,
NA,H1_session_depth,adjusted_sensitivity,45m_session_boundary,117385,1482,61033,20,0.003148461917205414,
NA,H1_session_depth,adjusted_sensitivity,60m_session_boundary,117385,1482,61033,20,0.003162610926970899,
NA,H1_session_depth,adjusted_sensitivity,90m_session_boundary,117385,1482,61033,20,0.003177948905033756,
NA,H2_post_loss_requeue,behavior_only,categorical_requeue_gap,55179,1444,37689,8,0.00026761213633863523,
NA,H2_post_loss_requeue,adjusted,categorical_requeue_gap,55179,1444,37689,20,0.004357009357666808,
NA,H2_post_loss_requeue,adjusted_continuous_sensitivity,log2_1plus_gap,55179,1444,37689,13,0.004026526402642228,
NA,H3_recent_volume,behavior_only,6h_window,117385,1482,61033,6,1.0169748952182367e-05,
NA,H3_recent_volume,adjusted,6h_window,117385,1482,61033,19,0.003149868884359752,
NA,H3_recent_volume,adjusted_sensitivity,3h_window,117385,1482,61033,19,0.0031745410510387595,
NA,H3_recent_volume,adjusted_sensitivity,12h_window,117385,1482,61033,19,0.003179837381252937,
NA,H3_recent_volume,adjusted_sensitivity,24h_window,117385,1482,61033,19,0.0032083451395142903,
KR,H1_session_depth,behavior_only,30m_session_boundary,112177,1180,54122,7,0.0001347579685772038,
KR,H1_session_depth,adjusted,30m_session_boundary,112177,1180,54122,19,0.0021390825072478137,
KR,H1_session_depth,adjusted_sensitivity,45m_session_boundary,112177,1180,54122,19,0.0021306831867409226,
KR,H1_session_depth,adjusted_sensitivity,60m_session_boundary,112177,1180,54122,19,0.0021607290409886293,
KR,H1_session_depth,adjusted_sensitivity,90m_session_boundary,112177,1180,54122,19,0.0021397809672296653,
KR,H2_post_loss_requeue,behavior_only,categorical_requeue_gap,52637,1153,34219,8,0.00016475840553109578,
KR,H2_post_loss_requeue,adjusted,categorical_requeue_gap,52637,1153,34219,19,0.003391015465371794,
KR,H2_post_loss_requeue,adjusted_continuous_sensitivity,log2_1plus_gap,52637,1153,34219,12,0.003226695274457847,
KR,H3_recent_volume,behavior_only,6h_window,112177,1180,54122,6,0.00012292329751206754,
KR,H3_recent_volume,adjusted,6h_window,112177,1180,54122,18,0.002164022045574532,
KR,H3_recent_volume,adjusted_sensitivity,3h_window,112177,1180,54122,18,0.002136115934864735,
KR,H3_recent_volume,adjusted_sensitivity,12h_window,112177,1180,54122,18,0.0021114140162018513,
KR,H3_recent_volume,adjusted_sensitivity,24h_window,112177,1180,54122,18,0.002156753648997922,
EU,H1_session_depth,behavior_only,30m_session_boundary,917119,8072,319762,7,1.0975721123851478e-05,
EU,H1_session_depth,adjusted,30m_session_boundary,917119,8072,319762,21,0.0019914283550016565,
EU,H1_session_depth,adjusted_sensitivity,45m_session_boundary,917119,8072,319762,21,0.0019960910687223388,
EU,H1_session_depth,adjusted_sensitivity,60m_session_boundary,917119,8072,319762,21,0.0020107016693194923,
EU,H1_session_depth,adjusted_sensitivity,90m_session_boundary,917119,8072,319762,21,0.00200564072924192,
EU,H2_post_loss_requeue,behavior_only,categorical_requeue_gap,429063,7948,219359,8,4.8607167381420346e-05,
EU,H2_post_loss_requeue,adjusted,categorical_requeue_gap,429063,7948,219359,21,0.002229682820084511,
EU,H2_post_loss_requeue,adjusted_continuous_sensitivity,log2_1plus_gap,429063,7948,219359,14,0.0021697537605992467,
EU,H3_recent_volume,behavior_only,6h_window,917119,8072,319762,6,1.0925927787730494e-05,
EU,H3_recent_volume,adjusted,6h_window,917119,8072,319762,20,0.0019914979988044923,
EU,H3_recent_volume,adjusted_sensitivity,3h_window,917119,8072,319762,20,0.0019967526612026942,
EU,H3_recent_volume,adjusted_sensitivity,12h_window,917119,8072,319762,20,0.0019951884780619045,
EU,H3_recent_volume,adjusted_sensitivity,24h_window,917119,8072,319762,20,0.0020328618371239227,
