source,hypothesis,specification,parameter_setting,behavior_terms,max_abs_effect_pp,median_abs_effect_pp,raw_p_lt_0_05_terms,holm_p_lt_0_05_terms
EU,H1_session_depth,adjusted,30m_session_boundary,7,0.4472725047223251,0.1807327947884883,0,0
EU,H1_session_depth,adjusted_sensitivity,45m_session_boundary,7,0.7006597677053513,0.3852476289481647,3,1
EU,H1_session_depth,adjusted_sensitivity,60m_session_boundary,7,1.104926166752316,0.5895597511504415,3,3
EU,H1_session_depth,adjusted_sensitivity,90m_session_boundary,7,0.8589396641049905,0.3694735394426091,1,1
EU,H1_session_depth,behavior_only,30m_session_boundary,7,0.6056644567059698,0.3117002336720383,1,0
EU,H2_post_loss_requeue,adjusted,categorical_requeue_gap,8,0.8631407853058253,0.29937643997332014,2,0
EU,H2_post_loss_requeue,adjusted_continuous_sensitivity,log2_1plus_gap,1,0.0253717715808935,0.0253717715808935,0,0
EU,H2_post_loss_requeue,behavior_only,categorical_requeue_gap,8,0.8808152376006222,0.3384606077233629,1,0
EU,H3_recent_volume,adjusted,6h_window,6,0.6213158177276688,0.30539801674723444,1,0
EU,H3_recent_volume,adjusted_sensitivity,12h_window,6,0.3889235263170669,0.20469860751120061,0,0
EU,H3_recent_volume,adjusted_sensitivity,24h_window,6,1.620163035755539,1.114450546740624,6,6
EU,H3_recent_volume,adjusted_sensitivity,3h_window,6,0.5601253619564496,0.2934788860605086,1,0
EU,H3_recent_volume,behavior_only,6h_window,6,0.4964774585096596,0.2565109602286437,2,0
KR,H1_session_depth,adjusted,30m_session_boundary,7,2.119853297792164,1.3912925100925038,2,0
KR,H1_session_depth,adjusted_sensitivity,45m_session_boundary,7,0.9335404972082196,0.6324024003482535,0,0
KR,H1_session_depth,adjusted_sensitivity,60m_session_boundary,7,1.5091832553524775,0.8959303993906903,0,0
KR,H1_session_depth,adjusted_sensitivity,90m_session_boundary,7,1.7537065018010716,0.2994590283356162,1,0
KR,H1_session_depth,behavior_only,30m_session_boundary,7,1.668698344821144,0.9464139240387148,2,1
KR,H2_post_loss_requeue,adjusted,categorical_requeue_gap,8,1.6606758125758574,0.6785548442207484,0,0
KR,H2_post_loss_requeue,adjusted_continuous_sensitivity,log2_1plus_gap,1,0.1129368568026102,0.1129368568026102,0,0
KR,H2_post_loss_requeue,behavior_only,categorical_requeue_gap,8,1.9836070415464775,0.9058177409945884,1,0
KR,H3_recent_volume,adjusted,6h_window,6,1.5844675921054856,0.34817520019197634,0,0
KR,H3_recent_volume,adjusted_sensitivity,12h_window,6,0.6560353787318558,0.20044285487833766,0,0
KR,H3_recent_volume,adjusted_sensitivity,24h_window,6,1.3084122321869966,0.8058205658966866,0,0
KR,H3_recent_volume,adjusted_sensitivity,3h_window,6,1.1643384306900204,0.4634471502925014,0,0
KR,H3_recent_volume,behavior_only,6h_window,6,1.1229863296691427,0.5785751888479149,1,0
NA,H1_session_depth,adjusted,30m_session_boundary,7,0.5905472625055115,0.3844374990642839,0,0
NA,H1_session_depth,adjusted_sensitivity,45m_session_boundary,7,1.024075049627848,0.4971133470119004,0,0
NA,H1_session_depth,adjusted_sensitivity,60m_session_boundary,7,1.5562308238977314,1.0159422624316972,1,0
NA,H1_session_depth,adjusted_sensitivity,90m_session_boundary,7,1.1638450943196563,0.7372638895661485,0,0
NA,H1_session_depth,behavior_only,30m_session_boundary,7,0.7642782694590425,0.2866571210984171,0,0
NA,H2_post_loss_requeue,adjusted,categorical_requeue_gap,8,2.3789140789033287,0.9663498296111792,0,0
NA,H2_post_loss_requeue,adjusted_continuous_sensitivity,log2_1plus_gap,1,0.0438521644197395,0.0438521644197395,0,0
NA,H2_post_loss_requeue,behavior_only,categorical_requeue_gap,8,2.356179350679942,0.8020009996049395,2,0
NA,H3_recent_volume,adjusted,6h_window,6,1.5920393000679576,1.2957786925592814,0,0
NA,H3_recent_volume,adjusted_sensitivity,12h_window,6,1.6307494713835666,1.0863016794992828,1,0
NA,H3_recent_volume,adjusted_sensitivity,24h_window,6,1.9007002946385976,1.0699064272785215,1,0
NA,H3_recent_volume,adjusted_sensitivity,3h_window,6,2.0821193959249,1.6708897116960448,1,0
NA,H3_recent_volume,behavior_only,6h_window,6,0.3018655843234331,0.1501828989695603,0,0
