source,hypothesis,specification,parameter_setting,term,estimate,estimate_percentage_points,std_error,ci_low,ci_high,ci_low_percentage_points,ci_high_percentage_points,z_value,p_value_two_sided,is_behavior_term,reference_category,sample_variant,p_value_holm,significant_raw_0_05,significant_holm_0_05
NA,H1_session_depth,adjusted,30m_session_boundary,session_depth_2,-0.005905472625055861,-0.5905472625055861,0.006616317218925925,-0.01887321608444289,0.007062270834331164,-1.8873216084442888,0.7062270834331164,-0.8925618935203563,0.37209183361984255,True,session depth 1,authoritative_ge10m,1.0,False,False
NA,H1_session_depth,adjusted,30m_session_boundary,session_depth_3,0.0033589163979510376,0.3358916397951038,0.0070411624937799875,-0.010441508499151972,0.017159341295054045,-1.0441508499151972,1.7159341295054045,0.47704003435771186,0.6333336139838419,True,session depth 1,authoritative_ge10m,1.0,False,False
NA,H1_session_depth,adjusted,30m_session_boundary,session_depth_4,-0.004040040353468319,-0.4040040353468319,0.007771921257453721,-0.01927272610875886,0.011192645401822222,-1.927272610875886,1.1192645401822223,-0.5198251783101491,0.603185428731881,True,session depth 1,authoritative_ge10m,1.0,False,False
NA,H1_session_depth,adjusted,30m_session_boundary,session_depth_5,0.0003124750277430724,0.031247502774307243,0.009179349784589806,-0.017678719951548454,0.018303670007034596,-1.7678719951548454,1.8303670007034596,0.03404108516135338,0.972844388451356,True,session depth 1,authoritative_ge10m,1.0,False,False
NA,H1_session_depth,adjusted,30m_session_boundary,session_depth_6,0.0038443749906419554,0.38443749906419555,0.009978883466371949,-0.015713877209369276,0.023402627190653186,-1.5713877209369276,2.3402627190653185,0.38525101566695275,0.7000514496587293,True,session depth 1,authoritative_ge10m,1.0,False,False
NA,H1_session_depth,adjusted,30m_session_boundary,session_depth_7,0.00033586003939841536,0.033586003939841534,0.011393535306225173,-0.02199505881738846,0.02266677889618529,-2.199505881738846,2.266677889618529,0.029478123371848325,0.9764832663786656,True,session depth 1,authoritative_ge10m,1.0,False,False
NA,H1_session_depth,adjusted,30m_session_boundary,session_depth_8+,0.00448404934307773,0.44840493430777295,0.00845194273154868,-0.01208145401015277,0.02104955269630823,-1.208145401015277,2.104955269630823,0.5305347522457835,0.5957412206579438,True,session depth 1,authoritative_ge10m,1.0,False,False
NA,H2_post_loss_requeue,adjusted,categorical_requeue_gap,post_loss_gap_5-10m,-0.002744273613957239,-0.2744273613957239,0.006909074948389562,-0.016285811679288713,0.010797264451374234,-1.6285811679288713,1.0797264451374233,-0.3971984143256258,0.6912211514121038,True,<=5m,authoritative_ge10m,1.0,False,False
NA,H2_post_loss_requeue,adjusted,categorical_requeue_gap,post_loss_gap_10-20m,-0.01590823937417318,-1.5908239374173179,0.008384048141012186,-0.03234067177520705,0.0005241930268606969,-3.2340671775207053,0.05241930268606969,-1.8974413203038474,0.05776971648963493,True,<=5m,authoritative_ge10m,0.4315666020773234,False,False
NA,H2_post_loss_requeue,adjusted,categorical_requeue_gap,post_loss_gap_20-30m,-0.009903578540774744,-0.9903578540774745,0.014006096308593195,-0.03735502286961681,0.01754786578806732,-3.735502286961681,1.7547865788067318,-0.7070905641780127,0.47951019938227407,True,<=5m,authoritative_ge10m,1.0,False,False
