sample_variant,source,hypothesis,parameter_setting,behavior_terms,max_abs_effect_pp,median_abs_effect_pp,raw_p_lt_0_05_terms,holm_p_lt_0_05_terms
alias_confirmed_ge10m,EU,H1_session_depth,30m_session_boundary,7,0.49018701112346125,0.15522735810694682,0,0
alias_confirmed_ge10m,EU,H2_post_loss_requeue,categorical_requeue_gap,8,1.0521214107242711,0.22330123577533123,2,0
alias_confirmed_ge10m,EU,H3_recent_volume,6h_window,6,0.3415465280016321,0.16894625089484339,0,0
alias_confirmed_ge10m,KR,H1_session_depth,30m_session_boundary,7,2.151691168110821,1.4494918132455845,3,0
alias_confirmed_ge10m,KR,H2_post_loss_requeue,categorical_requeue_gap,8,1.6572311534921769,0.6730820260557884,0,0
alias_confirmed_ge10m,KR,H3_recent_volume,6h_window,6,1.6203883971556359,0.3642567808554905,0,0
alias_confirmed_ge10m,NA,H1_session_depth,30m_session_boundary,7,2.3780944375005046,1.9715782512863353,0,0
alias_confirmed_ge10m,NA,H2_post_loss_requeue,categorical_requeue_gap,8,5.156984239213502,2.0940444299914684,0,0
alias_confirmed_ge10m,NA,H3_recent_volume,6h_window,6,3.386334718103952,2.26807539294193,0,0
authoritative_ge10m,EU,H1_session_depth,30m_session_boundary,7,0.4472725047224101,0.1807327947885626,0,0
authoritative_ge10m,EU,H2_post_loss_requeue,categorical_requeue_gap,8,0.8631407853058609,0.29937643997328756,2,0
authoritative_ge10m,EU,H3_recent_volume,6h_window,6,0.621315817727683,0.3053980167472244,1,0
authoritative_ge10m,KR,H1_session_depth,30m_session_boundary,7,2.1198532977920803,1.3912925100924116,2,0
authoritative_ge10m,KR,H2_post_loss_requeue,categorical_requeue_gap,8,1.6606758125758212,0.6785548442207299,0,0
authoritative_ge10m,KR,H3_recent_volume,6h_window,6,1.5844675921056126,0.3481752001919792,0,0
authoritative_ge10m,NA,H1_session_depth,30m_session_boundary,7,0.5905472625055861,0.38443749906419555,0,0
authoritative_ge10m,NA,H2_post_loss_requeue,categorical_requeue_gap,8,2.378914078903301,0.9663498296111763,0,0
authoritative_ge10m,NA,H3_recent_volume,6h_window,6,1.5920393000679625,1.2957786925592951,0,0
authoritative_ge5m,EU,H1_session_depth,30m_session_boundary,7,0.4325703983255511,0.16846985611899953,0,0
authoritative_ge5m,EU,H2_post_loss_requeue,categorical_requeue_gap,8,0.8739967626669785,0.2970055846717137,1,0
authoritative_ge5m,EU,H3_recent_volume,6h_window,6,0.63813023435734,0.3097178678762642,1,0
authoritative_ge5m,KR,H1_session_depth,30m_session_boundary,7,2.117741694705827,1.4228730581629192,2,0
authoritative_ge5m,KR,H2_post_loss_requeue,categorical_requeue_gap,8,1.6714690107688293,0.6394729393375539,0,0
authoritative_ge5m,KR,H3_recent_volume,6h_window,6,1.5889352959253498,0.360097419557619,0,0
authoritative_ge5m,NA,H1_session_depth,30m_session_boundary,7,0.5332235424182343,0.41027749394454893,0,0
authoritative_ge5m,NA,H2_post_loss_requeue,categorical_requeue_gap,8,2.406271630254721,0.9752480014785309,0,0
authoritative_ge5m,NA,H3_recent_volume,6h_window,6,1.6043912692190434,1.3397522706107337,0,0
