source,hypothesis,specification,parameter_setting,n_rows,n_players,n_physical_matches,n_predictors_after_within_transform,within_r2,dropped_no_within_variation,sample_variant
NA,H1_session_depth,adjusted,30m_session_boundary,117385,1482,61033,20,0.0031397727471178527,,authoritative_ge10m
NA,H2_post_loss_requeue,adjusted,categorical_requeue_gap,55179,1444,37689,20,0.004357009357666808,,authoritative_ge10m
NA,H3_recent_volume,adjusted,6h_window,117385,1482,61033,19,0.003149868884359641,,authoritative_ge10m
NA,H1_session_depth,adjusted,30m_session_boundary,18454,559,18353,20,0.007886490148030223,,alias_confirmed_ge10m
NA,H2_post_loss_requeue,adjusted,categorical_requeue_gap,8896,528,8872,20,0.01146632080904375,,alias_confirmed_ge10m
NA,H3_recent_volume,adjusted,6h_window,18454,559,18353,19,0.008178643363836335,,alias_confirmed_ge10m
NA,H1_session_depth,adjusted,30m_session_boundary,117706,1482,61240,20,0.003139142288482333,,authoritative_ge5m
NA,H2_post_loss_requeue,adjusted,categorical_requeue_gap,55335,1445,37813,20,0.004326749561235244,,authoritative_ge5m
NA,H3_recent_volume,adjusted,6h_window,117706,1482,61240,19,0.003150252693432387,,authoritative_ge5m
KR,H1_session_depth,adjusted,30m_session_boundary,112177,1180,54122,19,0.0021390825072477027,,authoritative_ge10m
KR,H2_post_loss_requeue,adjusted,categorical_requeue_gap,52637,1153,34219,19,0.003391015465371794,,authoritative_ge10m
KR,H3_recent_volume,adjusted,6h_window,112177,1180,54122,18,0.002164022045574532,,authoritative_ge10m
KR,H1_session_depth,adjusted,30m_session_boundary,111941,1177,53952,19,0.0021339691028583463,,alias_confirmed_ge10m
KR,H2_post_loss_requeue,adjusted,categorical_requeue_gap,52526,1150,34135,19,0.003381231461699996,,alias_confirmed_ge10m
KR,H3_recent_volume,adjusted,6h_window,111941,1177,53952,18,0.002160710100014951,,alias_confirmed_ge10m
KR,H1_session_depth,adjusted,30m_session_boundary,112344,1180,54239,19,0.0021635124483810886,,authoritative_ge5m
KR,H2_post_loss_requeue,adjusted,categorical_requeue_gap,52705,1153,34277,19,0.003419786036181316,,authoritative_ge5m
KR,H3_recent_volume,adjusted,6h_window,112344,1180,54239,18,0.002188962600704114,,authoritative_ge5m
EU,H1_session_depth,adjusted,30m_session_boundary,917119,8072,319762,21,0.0019914283550015455,,authoritative_ge10m
EU,H2_post_loss_requeue,adjusted,categorical_requeue_gap,429063,7948,219359,21,0.002229682820084844,,authoritative_ge10m
EU,H3_recent_volume,adjusted,6h_window,917119,8072,319762,20,0.0019914979988043813,,authoritative_ge10m
EU,H1_session_depth,adjusted,30m_session_boundary,593964,4723,228032,21,0.0017777280005742968,,alias_confirmed_ge10m
EU,H2_post_loss_requeue,adjusted,categorical_requeue_gap,279770,4644,150300,21,0.0020139722039332897,,alias_confirmed_ge10m
EU,H3_recent_volume,adjusted,6h_window,593964,4723,228032,20,0.0017728817639640626,,alias_confirmed_ge10m
EU,H1_session_depth,adjusted,30m_session_boundary,919327,8072,320727,21,0.0019986623401583303,,authoritative_ge5m
EU,H2_post_loss_requeue,adjusted,categorical_requeue_gap,430091,7948,219979,21,0.0022352853826984598,,authoritative_ge5m
EU,H3_recent_volume,adjusted,6h_window,919327,8072,320727,20,0.001999391184723587,,authoritative_ge5m
