champion_a_id,champion_a,champion_b_id,champion_b,games_together,pair_win_rate,appearances_a,win_rate_a,appearances_b,win_rate_b,lift,association,win_surplus_pp,pair
236,Lucian,267,Nami,13434,0.5046895935685574,47458,0.49201399131863965,66358,0.5089363754181861,3.736910351245539,1.9018459537735521,0.42144102001444583,Lucian + Nami
111,Nautilus,145,Kaisa,8675,0.48518731988472624,51925,0.4958883004333173,75494,0.48803878453916866,1.9386106614931973,0.9550230906375601,-0.6776222601516724,Nautilus + Kaisa
131,Diana,157,Yasuo,7528,0.5201912858660999,51789,0.5078684662766224,48865,0.5000716259081142,2.605878948273642,1.3817700674894835,1.6221239773731577,Diana + Yasuo
145,Kaisa,517,Sylas,6393,0.47317378382605974,75494,0.48803878453916866,70160,0.4948973774230331,1.0573353266099605,0.08043299007571118,-1.8294297155041106,Kaisa + Sylas
117,Lulu,804,Yunara,5877,0.48732346435256085,41724,0.5008388457482504,49114,0.4805147208535245,2.512317383975012,1.3290187330841616,-0.33533189483266335,Lulu + Yunara
43,Karma,81,Ezreal,5803,0.4733758400827158,50106,0.49706621961441744,46856,0.4734505719651699,2.1652481731047066,1.1145323910435134,-1.1882555707077858,Karma + Ezreal
145,Kaisa,799,Ambessa,5211,0.47956246401842256,75494,0.48803878453916866,53918,0.4855335880410995,1.1214629166402148,0.16538191568607338,-0.7223722271711475,Kaisa + Ambessa
117,Lulu,222,Jinx,5158,0.5077549437766576,41724,0.5008388457482504,42397,0.5093520767978866,2.554290742173173,1.352922749166881,0.2659482503589161,Lulu + Jinx
21,MissFortune,517,Sylas,5045,0.5042616451932607,56217,0.5084227191063202,70160,0.4948973774230331,1.1205054665898102,0.16414968731575075,0.26015969285839713,MissFortune + Sylas
412,Thresh,523,Aphelios,4899,0.5446009389671361,41458,0.5124222104298326,42113,0.5008429701042434,2.4580627603903262,1.297521751734973,3.796834870009813,Thresh + Aphelios
202,Jhin,517,Sylas,4763,0.4866680663447407,56551,0.494880727131262,70160,0.4948973774230331,1.0516246744873252,0.07261989771796737,-0.8220985932406832,Jhin + Sylas
43,Karma,51,Caitlyn,4717,0.4922620309518762,50106,0.49706621961441744,47481,0.49103852067142645,1.7368661069479818,0.796486542598984,-0.1790339191045709,Karma + Caitlyn
267,Nami,517,Sylas,4710,0.5116772823779193,66358,0.5089363754181861,70160,0.4948973774230331,0.8862333602298138,-0.17424146008307334,0.9760405957309648,Nami + Sylas
267,Nami,901,Smolder,4663,0.5164057473729359,66358,0.5089363754181861,45511,0.4903649667113445,1.3525888545272426,0.435723370965348,1.6755076308170525,Nami + Smolder
