champion_id,champion_name,team_position,appearances
1,Annie,BOTTOM,69
1,Annie,JUNGLE,2
1,Annie,MIDDLE,4454
1,Annie,TOP,293
1,Annie,UTILITY,675
2,Olaf,BOTTOM,243
2,Olaf,JUNGLE,1280
2,Olaf,MIDDLE,276
2,Olaf,TOP,10669
2,Olaf,UNKNOWN,1
2,Olaf,UTILITY,15
3,Galio,BOTTOM,42
3,Galio,JUNGLE,16
3,Galio,MIDDLE,17846
3,Galio,TOP,1461
3,Galio,UTILITY,2364
4,TwistedFate,BOTTOM,289
4,TwistedFate,JUNGLE,27
4,TwistedFate,MIDDLE,17465
4,TwistedFate,TOP,446
4,TwistedFate,UTILITY,559
5,XinZhao,BOTTOM,12
5,XinZhao,JUNGLE,17182
5,XinZhao,MIDDLE,397
5,XinZhao,TOP,1161
5,XinZhao,UTILITY,147
6,Urgot,BOTTOM,123
6,Urgot,JUNGLE,215
6,Urgot,MIDDLE,273
6,Urgot,TOP,14887
6,Urgot,UTILITY,60
7,Leblanc,BOTTOM,99
7,Leblanc,JUNGLE,4
7,Leblanc,MIDDLE,18928
7,Leblanc,TOP,506
7,Leblanc,UTILITY,3542
8,Vladimir,BOTTOM,1199
8,Vladimir,JUNGLE,2
8,Vladimir,MIDDLE,12566
8,Vladimir,TOP,12124
8,Vladimir,UTILITY,21
9,FiddleSticks,BOTTOM,21
9,FiddleSticks,JUNGLE,10734
9,FiddleSticks,MIDDLE,627
9,FiddleSticks,TOP,1399
9,FiddleSticks,UNKNOWN,1
9,FiddleSticks,UTILITY,3471
10,Kayle,BOTTOM,132
10,Kayle,JUNGLE,93
10,Kayle,MIDDLE,8276
10,Kayle,TOP,13984
10,Kayle,UTILITY,157
11,MasterYi,BOTTOM,60
11,MasterYi,JUNGLE,14898
11,MasterYi,MIDDLE,374
11,MasterYi,TOP,1898
11,MasterYi,UTILITY,76
12,Alistar,BOTTOM,9
12,Alistar,JUNGLE,5
12,Alistar,MIDDLE,37
12,Alistar,TOP,171
12,Alistar,UTILITY,29015
13,Ryze,BOTTOM,133
13,Ryze,JUNGLE,22
13,Ryze,MIDDLE,25021
13,Ryze,TOP,5765
13,Ryze,UTILITY,20
14,Sion,BOTTOM,359
14,Sion,JUNGLE,920
14,Sion,MIDDLE,3019
14,Sion,TOP,25123
14,Sion,UTILITY,404
15,Sivir,BOTTOM,33088
15,Sivir,MIDDLE,215
15,Sivir,TOP,36
15,Sivir,UNKNOWN,2
15,Sivir,UTILITY,5
16,Soraka,BOTTOM,96
16,Soraka,JUNGLE,6
16,Soraka,MIDDLE,264
16,Soraka,TOP,267
16,Soraka,UTILITY,20852
17,Teemo,BOTTOM,110
17,Teemo,JUNGLE,2276
17,Teemo,MIDDLE,355
17,Teemo,TOP,8347
17,Teemo,UTILITY,1674
18,Tristana,BOTTOM,34453
18,Tristana,JUNGLE,24
18,Tristana,MIDDLE,4813
18,Tristana,TOP,388
18,Tristana,UNKNOWN,1
18,Tristana,UTILITY,21
19,Warwick,BOTTOM,6
19,Warwick,JUNGLE,6273
19,Warwick,MIDDLE,228
19,Warwick,TOP,6951
19,Warwick,UNKNOWN,2
19,Warwick,UTILITY,38
20,Nunu,BOTTOM,31
20,Nunu,JUNGLE,16844
20,Nunu,MIDDLE,2222
20,Nunu,TOP,100
20,Nunu,UTILITY,369
21,MissFortune,BOTTOM,55663
21,MissFortune,JUNGLE,1
21,MissFortune,MIDDLE,231
21,MissFortune,TOP,41
21,MissFortune,UNKNOWN,1
21,MissFortune,UTILITY,280
22,Ashe,BOTTOM,35248
22,Ashe,JUNGLE,6
22,Ashe,MIDDLE,238
22,Ashe,TOP,181
22,Ashe,UTILITY,2653
23,Tryndamere,BOTTOM,24
23,Tryndamere,JUNGLE,305
23,Tryndamere,MIDDLE,1741
23,Tryndamere,TOP,9473
23,Tryndamere,UTILITY,20
24,Jax,BOTTOM,44
24,Jax,JUNGLE,9065
24,Jax,MIDDLE,399
24,Jax,TOP,26968
24,Jax,UNKNOWN,1
24,Jax,UTILITY,257
25,Morgana,BOTTOM,209
25,Morgana,JUNGLE,1825
25,Morgana,MIDDLE,6102
25,Morgana,TOP,325
25,Morgana,UTILITY,9098
26,Zilean,BOTTOM,481
26,Zilean,JUNGLE,2
26,Zilean,MIDDLE,2601
26,Zilean,TOP,1096
26,Zilean,UTILITY,14041
27,Singed,BOTTOM,299
27,Singed,JUNGLE,148
27,Singed,MIDDLE,1156
27,Singed,TOP,13696
27,Singed,UTILITY,319
28,Evelynn,BOTTOM,4
28,Evelynn,JUNGLE,9102
28,Evelynn,MIDDLE,49
28,Evelynn,TOP,25
28,Evelynn,UTILITY,78
29,Twitch,BOTTOM,23403
29,Twitch,JUNGLE,355
29,Twitch,MIDDLE,1650
29,Twitch,TOP,115
29,Twitch,UTILITY,731
30,Karthus,BOTTOM,4377
30,Karthus,JUNGLE,9702
30,Karthus,MIDDLE,786
30,Karthus,TOP,278
30,Karthus,UTILITY,154
31,Chogath,BOTTOM,270
31,Chogath,JUNGLE,5397
31,Chogath,MIDDLE,3117
31,Chogath,TOP,12777
31,Chogath,UTILITY,263
32,Amumu,BOTTOM,2
32,Amumu,JUNGLE,5779
32,Amumu,MIDDLE,11
32,Amumu,TOP,37
32,Amumu,UTILITY,2805
33,Rammus,BOTTOM,12
33,Rammus,JUNGLE,4343
33,Rammus,MIDDLE,31
33,Rammus,TOP,204
33,Rammus,UTILITY,686
34,Anivia,BOTTOM,525
34,Anivia,JUNGLE,4
34,Anivia,MIDDLE,14675
34,Anivia,TOP,3053
34,Anivia,UTILITY,1730
35,Shaco,BOTTOM,9
35,Shaco,JUNGLE,17613
35,Shaco,MIDDLE,105
35,Shaco,TOP,322
35,Shaco,UTILITY,4382
36,DrMundo,BOTTOM,32
36,DrMundo,JUNGLE,14021
36,DrMundo,MIDDLE,819
36,DrMundo,TOP,17185
36,DrMundo,UTILITY,163
37,Sona,BOTTOM,118
37,Sona,JUNGLE,6
37,Sona,MIDDLE,67
37,Sona,TOP,64
37,Sona,UTILITY,28731
38,Kassadin,BOTTOM,33
38,Kassadin,JUNGLE,11
38,Kassadin,MIDDLE,20360
38,Kassadin,TOP,510
38,Kassadin,UTILITY,12
39,Irelia,BOTTOM,442
39,Irelia,JUNGLE,5
39,Irelia,MIDDLE,10506
39,Irelia,TOP,17972
39,Irelia,UTILITY,9
40,Janna,BOTTOM,7
40,Janna,JUNGLE,5
40,Janna,MIDDLE,56
40,Janna,TOP,236
40,Janna,UTILITY,37575
41,Gangplank,BOTTOM,18
41,Gangplank,JUNGLE,8
41,Gangplank,MIDDLE,1679
41,Gangplank,TOP,18605
41,Gangplank,UNKNOWN,1
41,Gangplank,UTILITY,15
42,Corki,BOTTOM,22201
42,Corki,JUNGLE,65
42,Corki,MIDDLE,4796
42,Corki,TOP,742
42,Corki,UTILITY,5
43,Karma,BOTTOM,148
43,Karma,JUNGLE,1
43,Karma,MIDDLE,2114
43,Karma,TOP,1319
43,Karma,UNKNOWN,1
