champion_id,champion_name,pca_1,pca_2,kmeans_cluster,hierarchical_cluster,dbscan_cluster
2,Olaf,2.321766149535489,-0.5128089989459528,1,2,0
3,Galio,2.7467602075871063,0.43643590559624906,1,2,0
4,TwistedFate,2.0586715570577296,-0.5522819890611878,1,2,0
5,XinZhao,3.196732050504669,2.217685415091757,1,2,0
6,Urgot,1.9206174776144314,-0.029372424640592455,1,2,0
7,Leblanc,2.728861441577374,-1.0175698004311517,1,2,0
8,Vladimir,1.2131022490213221,0.10546739400045552,1,2,0
9,FiddleSticks,1.9974294081915036,-2.019670134607623,1,2,0
10,Kayle,0.4687994276602124,-0.18506463962610673,1,2,0
11,MasterYi,2.8024262395252793,-0.009387739703164671,1,2,0
12,Alistar,0.3544119786623667,1.0941062279267253,1,2,0
13,Ryze,-0.6515114601887978,1.0439612911688312,1,2,0
14,Sion,-2.3801534106870386,1.6153789566554466,1,2,0
15,Sivir,0.8952864520297845,0.19989924707222542,1,2,0
16,Soraka,2.33002768438489,-1.4909552602364013,1,2,0
17,Teemo,2.4103901881999104,-1.2714865796478414,1,2,0
18,Tristana,-2.004809359795044,0.7136043524018372,1,2,0
19,Warwick,2.379692182519788,-0.9222509027879673,1,2,0
20,Nunu,1.2080525485939493,-1.2085637013844543,1,2,0
21,MissFortune,1.6425479739698248,1.4738911997195145,1,2,-1
22,Ashe,2.4110029280248644,0.460054498135188,1,2,0
23,Tryndamere,2.5420472574968893,-0.8937210627739678,1,2,0
24,Jax,-4.913941721632917,4.386626318487467,1,2,0
25,Morgana,1.9018374068906885,-1.3238799819816873,1,2,0
26,Zilean,2.6652869768535203,-1.7247294258490509,1,2,0
27,Singed,2.429827286466928,-1.4794383548313368,1,2,0
28,Evelynn,2.740671415044401,-1.5635501521979553,1,2,0
29,Twitch,1.4354696158754219,-3.1962168039164407,1,2,0
30,Karthus,3.3755671428236185,-3.331263301268836,1,2,0
31,Chogath,-0.19626634203818966,0.10087459383024928,1,2,0
32,Amumu,2.611065202357315,-1.061179712372345,1,2,0
34,Anivia,2.134331552317087,-0.016272701123806514,1,2,0
35,Shaco,1.0500992259001056,0.968445208891987,1,2,0
36,DrMundo,-3.9504563741652583,3.962658009969653,1,2,0
37,Sona,1.1708888536781574,-2.6239647889018825,1,2,0
38,Kassadin,2.743397177360645,-1.0592518973871048,1,2,0
39,Irelia,-4.25269745795199,3.0952662839966285,1,2,0
40,Janna,-0.2560003004028653,-2.869264864399185,1,2,0
41,Gangplank,1.3783707619882861,-0.07257173636294924,1,2,0
42,Corki,0.24562004057062456,2.3123109827268946,1,2,0
43,Karma,-2.3193194206278616,-4.46371735204449,1,2,0
44,Taric,2.6037311192891104,-1.1060674818530802,1,2,0
45,Veigar,2.673803272668639,-0.8746027457277276,1,2,0
50,Swain,-0.419866946281166,-0.015073155297268399,1,2,0
51,Caitlyn,3.1659669100554177,3.0367009413767168,1,2,-1
53,Blitzcrank,2.545948519044606,-0.7731663514402111,1,2,0
54,Malphite,-14.03005227222704,5.90964195589545,2,1,-1
55,Katarina,0.28401697906146356,-0.44471525591699407,1,2,0
56,Nocturne,2.92377615119262,-0.9128239228770506,1,2,0
57,Maokai,2.5879364106646614,-1.033123835414799,1,2,0
58,Renekton,-0.3441246507906552,2.867906829018516,1,2,0
59,JarvanIV,1.5137273289138011,5.841268879615445,1,2,0
60,Elise,-1.9763021349314696,-4.3254518768319885,1,2,0
61,Orianna,1.3884595496986325,-0.6289749048512859,1,2,0
62,MonkeyKing,2.5992815257033492,-0.24670840704318744,1,2,0
63,Brand,2.4680295313692695,-1.1202605677007345,1,2,0
64,LeeSin,0.45876332862560365,7.248762770726962,1,2,0
67,Vayne,-6.710866855270908,8.230575784385165,2,1,-1
68,Rumble,1.8827029653883418,-2.1672933179548695,1,2,0
69,Cassiopeia,2.067749812993146,0.28640101156887826,1,2,0
75,Nasus,2.5591129560543724,-1.087906694014735,1,2,0
76,Nidalee,1.067195317600396,-3.1769889138792196,1,2,0
77,Udyr,2.598019407599327,-1.1202101050793898,1,2,0
78,Poppy,1.5346354326580884,1.9441498190849844,1,2,0
79,Gragas,2.0878804277919447,-1.8454125371630912,1,2,0
