champion_id,champion_name,community
145,Kaisa,3
517,Sylas,3
267,Nami,2
202,Jhin,4
21,MissFortune,3
799,Ambessa,1
126,Jayce,1
111,Nautilus,3
131,Diana,2
43,Karma,4
804,Yunara,2
238,Zed,3
157,Yasuo,2
134,Syndra,1
51,Caitlyn,4
245,Ekko,2
236,Lucian,2
81,Ezreal,4
432,Bard,4
901,Smolder,2
54,Malphite,2
904,Zaahen,3
234,Viego,1
266,Aatrox,1
222,Jinx,2
523,Aphelios,5
246,Qiyana,3
117,Lulu,2
412,Thresh,5
64,LeeSin,1
84,Akali,1
18,Tristana,3
59,JarvanIV,1
800,Mel,1
67,Vayne,2
22,Ashe,1
61,Orianna,1
40,Janna,2
24,Jax,1
91,Talon,3
103,Ahri,1
201,Braum,2
777,Yone,3
15,Sivir,2
902,Milio,2
55,Katarina,4
36,DrMundo,4
13,Ryze,1
89,Leona,3
112,Viktor,1
497,Rakan,6
92,Riven,3
14,Sion,3
887,Gwen,3
12,Alistar,3
121,Khazix,1
37,Sona,2
39,Irelia,3
555,Pyke,3
42,Corki,3
60,Elise,3
119,Draven,3
50,Swain,1
29,Twitch,2
58,Renekton,3
80,Pantheon,3
526,Rell,3
8,Vladimir,1
122,Darius,4
950,Naafiri,3
110,Varus,1
114,Fiora,2
99,Lux,4
897,KSante,3
107,Rengar,1
163,Taliyah,3
142,Zoe,1
76,Nidalee,3
86,Garen,4
7,Leblanc,1
10,Kayle,2
35,Shaco,4
53,Blitzcrank,3
893,Aurora,1
31,Chogath,2
78,Poppy,1
166,Akshan,3
3,Galio,1
518,Neeko,1
910,Hwei,1
16,Soraka,2
161,Velkoz,4
235,Senna,2
68,Rumble,3
38,Kassadin,2
120,Hecarim,1
106,Volibear,2
154,Zac,2
41,Gangplank,2
147,Seraphine,1
98,Shen,2
34,Anivia,1
101,Xerath,4
20,Nunu,2
69,Cassiopeia,3
104,Graves,1
516,Ornn,2
5,XinZhao,1
4,TwistedFate,1
90,Malzahar,2
421,RekSai,1
26,Zilean,1
221,Zeri,2
141,Kayn,4
25,Morgana,4
11,MasterYi,1
164,Camille,1
875,Sett,4
79,Gragas,2
45,Veigar,1
85,Kennen,3
9,FiddleSticks,3
143,Zyra,3
82,Mordekaiser,3
105,Fizz,4
27,Singed,3
115,Ziggs,3
6,Urgot,2
62,MonkeyKing,1
498,Xayah,6
30,Karthus,3
63,Brand,3
360,Samira,3
150,Gnar,1
350,Yuumi,2
19,Warwick,2
136,AurelionSol,1
203,Kindred,1
268,Azir,1
17,Teemo,4
2,Olaf,4
133,Quinn,2
200,Belveth,1
56,Nocturne,1
77,Udyr,2
427,Ivern,3
75,Nasus,2
23,Tryndamere,2
254,Vi,1
876,Lillia,3
233,Briar,4
127,Lissandra,1
83,Yorick,2
240,Kled,2
44,Taric,2
711,Vex,4
28,Evelynn,3
96,KogMaw,2
32,Amumu,3
223,TahmKench,2
113,Sejuani,2
895,Nilah,2
57,Maokai,3
48,Trundle,3
429,Kalista,5
420,Illaoi,2
74,Heimerdinger,0
888,Renata,5
1,Annie,0
33,Rammus,0
72,Skarner,0
102,Shyvana,0
