champion_a,champion_b,cosine_similarity,pair
Leblanc,Zoe,0.922727871933279,Leblanc ↔ Zoe
Rengar,Khazix,0.8829559086695846,Rengar ↔ Khazix
Evelynn,Lillia,0.8744742142284216,Evelynn ↔ Lillia
JarvanIV,LeeSin,0.8686931559715699,JarvanIV ↔ LeeSin
Garen,Darius,0.8665957691602351,Garen ↔ Darius
Sion,Renekton,0.8650630272823683,Sion ↔ Renekton
Katarina,Ahri,0.8534153013704191,Katarina ↔ Ahri
Aatrox,Ambessa,0.8489788624563577,Aatrox ↔ Ambessa
Leblanc,Anivia,0.8470253466538106,Leblanc ↔ Anivia
JarvanIV,Viego,0.8332550463241617,JarvanIV ↔ Viego
Gangplank,Darius,0.8322917139656167,Gangplank ↔ Darius
Jax,Riven,0.8313663272605086,Jax ↔ Riven
Urgot,Gnar,0.8305938815563167,Urgot ↔ Gnar
Anivia,Zoe,0.8274919748647233,Anivia ↔ Zoe
Anivia,Aurora,0.8266352136216548,Anivia ↔ Aurora
Renekton,KSante,0.8214807359450789,Renekton ↔ KSante
Jinx,Aphelios,0.8131970375153847,Jinx ↔ Aphelios
XinZhao,RekSai,0.8122664444954582,XinZhao ↔ RekSai
Gangplank,Garen,0.8056505133161693,Gangplank ↔ Garen
Talon,Qiyana,0.8027169551672375,Talon ↔ Qiyana
XinZhao,Graves,0.8020654054127471,XinZhao ↔ Graves
LeeSin,Viego,0.801560743748382,LeeSin ↔ Viego
JarvanIV,Talon,0.7995188184788456,JarvanIV ↔ Talon
Zoe,Hwei,0.7956943346346507,Zoe ↔ Hwei
Lux,Velkoz,0.7951888470878593,Lux ↔ Velkoz
Leblanc,Viktor,0.7950897413761205,Leblanc ↔ Viktor
Veigar,Hwei,0.7921924124142061,Veigar ↔ Hwei
Cassiopeia,Aurora,0.7861724044843599,Cassiopeia ↔ Aurora
Udyr,Briar,0.7857943991530071,Udyr ↔ Briar
Ryze,Orianna,0.7828015958176102,Ryze ↔ Orianna
Irelia,Yone,0.7815960032088923,Irelia ↔ Yone
Viktor,Zoe,0.7815635658489453,Viktor ↔ Zoe
Aatrox,Zaahen,0.7808767606668681,Aatrox ↔ Zaahen
Sion,Riven,0.778823917893762,Sion ↔ Riven
Talon,Viego,0.7719397451409103,Talon ↔ Viego
Alistar,Rell,0.770676316299135,Alistar ↔ Rell
Talon,Khazix,0.7682028898921793,Talon ↔ Khazix
Urgot,Fiora,0.7681403380327534,Urgot ↔ Fiora
LeeSin,Talon,0.7662572810964474,LeeSin ↔ Talon
Ekko,Sylas,0.7645666511728011,Ekko ↔ Sylas
Ryze,Ahri,0.7620897930784262,Ryze ↔ Ahri
Twitch,Zeri,0.7590132047009877,Twitch ↔ Zeri
Karma,Bard,0.7569287646333589,Karma ↔ Bard
Graves,RekSai,0.7547960661967505,Graves ↔ RekSai
Jax,DrMundo,0.7531375709222301,Jax ↔ DrMundo
Urgot,Shen,0.7527225007287504,Urgot ↔ Shen
Katarina,Viktor,0.7511170342169357,Katarina ↔ Viktor
Anivia,Hwei,0.7510369426181656,Anivia ↔ Hwei
Renekton,Riven,0.7507346337127556,Renekton ↔ Riven
Ahri,Viktor,0.7499071317692234,Ahri ↔ Viktor
Orianna,Viktor,0.749503238800996,Orianna ↔ Viktor
Diana,Ekko,0.7477151346040707,Diana ↔ Ekko
Leblanc,Hwei,0.7476441161190819,Leblanc ↔ Hwei
Jayce,Aatrox,0.746706442156277,Jayce ↔ Aatrox
Irelia,Riven,0.7458833535381311,Irelia ↔ Riven
Leona,Nautilus,0.7449790432184912,Leona ↔ Nautilus
Malzahar,Fizz,0.7437519048919236,Malzahar ↔ Fizz
XinZhao,Hecarim,0.7436228009056237,XinZhao ↔ Hecarim
Vladimir,Kayle,0.7432608789390727,Vladimir ↔ Kayle
Anivia,Viktor,0.7429785170973953,Anivia ↔ Viktor
JarvanIV,Khazix,0.7420529417011964,JarvanIV ↔ Khazix
Nunu,Zac,0.7419756485615815,Nunu ↔ Zac
Viktor,Aurora,0.7387833366213865,Viktor ↔ Aurora
Kassadin,Malzahar,0.7385398275362285,Kassadin ↔ Malzahar
Yasuo,Yone,0.738002167804674,Yasuo ↔ Yone
Orianna,Ahri,0.7378497444778468,Orianna ↔ Ahri
Aphelios,Yunara,0.7365817271243933,Aphelios ↔ Yunara
