source,check,problem_rows_or_groups
NA,duplicate_canonical_match_ids,0
NA,canonical_matches_not_2_teams,0
NA,duplicate_authoritative_player_match_rows,0
NA,null_player_ids_in_linked,0
NA,null_match_ids_in_linked,0
NA,null_start_times_in_linked,0
NA,nonpositive_duration_in_linked,0
NA,linked_rows_missing_canonical_match,0
KR,duplicate_canonical_match_ids,0
KR,canonical_matches_not_2_teams,0
KR,duplicate_authoritative_player_match_rows,0
KR,null_player_ids_in_linked,0
KR,null_match_ids_in_linked,0
KR,null_start_times_in_linked,0
KR,nonpositive_duration_in_linked,0
KR,linked_rows_missing_canonical_match,0
EU,duplicate_canonical_match_ids,0
EU,canonical_matches_not_2_teams,0
EU,duplicate_authoritative_player_match_rows,0
EU,null_player_ids_in_linked,0
EU,null_match_ids_in_linked,0
EU,null_start_times_in_linked,0
EU,nonpositive_duration_in_linked,0
EU,linked_rows_missing_canonical_match,0
