source,history_scope,threshold_minutes,pairs_at_or_below_threshold,percent_of_pairs
NA,ranked_420_plus_440,10,51894,41.15370584783264
NA,ranked_420_plus_440,15,63085,50.02854922361973
NA,ranked_420_plus_440,30,72943,57.84627829148757
NA,ranked_420_plus_440,45,77211,61.23094735840378
NA,ranked_420_plus_440,60,80028,63.46492410664721
NA,ranked_420_plus_440,90,83516,66.23102666180273
NA,ranked_420_plus_440,120,85811,68.05103966756015
NA,ranked_420_plus_440,180,88722,70.35956161081064
NA,ranked_420_plus_440,360,92838,73.62368951133246
NA,ranked_420_plus_440,720,96952,76.8862313438754
NA,ranked_420_plus_440,1440,110034,87.26070199368745
NA,solo_duo_420_only,10,48849,41.11107370688929
NA,solo_duo_420_only,15,59280,49.88975105620171
NA,solo_duo_420_only,30,68471,57.62485061688913
NA,solo_duo_420_only,45,72538,61.04761744458097
NA,solo_duo_420_only,60,75257,63.335914224638536
NA,solo_duo_420_only,90,78606,66.15441584891687
NA,solo_duo_420_only,120,80807,68.00676642372625
NA,solo_duo_420_only,180,83606,70.36239080304993
NA,solo_duo_420_only,360,87523,73.65891838211779
NA,solo_duo_420_only,720,91476,76.9857433808554
NA,solo_duo_420_only,1440,103746,87.31211391829795
KR,ranked_420_plus_440,10,50482,42.31800958991383
KR,ranked_420_plus_440,15,61956,51.93642490695101
KR,ranked_420_plus_440,30,71191,59.677933138852566
KR,ranked_420_plus_440,45,75282,63.107333266271
KR,ranked_420_plus_440,60,77953,65.34637695738189
KR,ranked_420_plus_440,90,81299,68.15125909532911
KR,ranked_420_plus_440,120,83408,69.91918988699997
KR,ranked_420_plus_440,180,86274,72.32169801830801
KR,ranked_420_plus_440,360,90384,75.76702545015591
KR,ranked_420_plus_440,720,94584,79.28779800824867
KR,ranked_420_plus_440,1440,105549,88.47952922241224
KR,solo_duo_420_only,10,46884,41.481088254810885
KR,solo_duo_420_only,15,57919,51.24441495244415
KR,solo_duo_420_only,30,66868,59.162132271621324
KR,solo_duo_420_only,45,70855,62.689670426896704
KR,solo_duo_420_only,60,73459,64.99358548993585
KR,solo_duo_420_only,90,76735,67.8920592789206
KR,solo_duo_420_only,120,78787,69.70758681707586
KR,solo_duo_420_only,180,81585,72.18314532183145
KR,solo_duo_420_only,360,85604,75.73899579738996
KR,solo_duo_420_only,720,89693,79.3567794735678
KR,solo_duo_420_only,1440,100193,88.6467595664676
EU,ranked_420_plus_440,10,410920,42.101423735481916
EU,ranked_420_plus_440,15,489448,50.14712752965091
EU,ranked_420_plus_440,30,560126,57.388547822594525
EU,ranked_420_plus_440,45,597899,61.25863708269469
EU,ranked_420_plus_440,60,623371,63.86840897354983
EU,ranked_420_plus_440,90,655574,67.16781554551937
EU,ranked_420_plus_440,120,676809,69.34347925870675
EU,ranked_420_plus_440,180,703872,72.11625943624337
EU,ranked_420_plus_440,360,740984,75.91862495184544
EU,ranked_420_plus_440,720,777924,79.70336794996844
EU,ranked_420_plus_440,1440,881809,90.34706113784087
EU,solo_duo_420_only,10,391773,42.23234565212939
EU,solo_duo_420_only,15,465416,50.17091372818303
EU,solo_duo_420_only,30,531761,57.32277200399715
EU,solo_duo_420_only,45,568133,61.243600841255585
EU,solo_duo_420_only,60,592630,63.88432843463291
EU,solo_duo_420_only,90,623569,67.21949074069083
EU,solo_duo_420_only,120,643852,69.40595756423953
EU,solo_duo_420_only,180,669677,72.18984090093257
EU,solo_duo_420_only,360,704956,75.9928465247542
EU,solo_duo_420_only,720,740237,79.7960677445748
EU,solo_duo_420_only,1440,838568,90.39595283190735
