source,patch,player_match_rows,percent
NA,15.20,5153,4.035902536830646
NA,15.21,7088,5.551421925297034
NA,15.22,10763,8.429733942151802
NA,15.23,16355,12.809467492696529
NA,15.24,82957,64.97309659380164
NA,16.1,5363,4.2003775092223465
KR,15.20,5251,4.35467686158082
KR,15.21,6214,5.153296899231235
KR,15.22,10508,8.714329548941393
KR,15.23,17611,14.604877967872751
KR,15.24,80999,67.1728187223738
EU,15.20,30137,3.0617044642956923
EU,15.21,52816,5.3657292692119745
EU,15.22,82092,8.339962268406342
EU,15.23,126484,12.849873161295958
EU,15.24,305834,31.070555235538
EU,16.1,345753,35.126041199974395
EU,16.2,41205,4.186134401277632
