source,history_scope,min_observed_matches,players,percent_of_authoritative_players
NA,ranked_420_plus_440,1,1581,100.0
NA,solo_duo_420_only,1,1551,98.10246679316889
NA,ranked_420_plus_440,2,1516,95.88867805186591
NA,solo_duo_420_only,2,1465,92.662871600253
NA,ranked_420_plus_440,3,1490,94.24414927261228
NA,solo_duo_420_only,3,1439,91.01834282099937
NA,ranked_420_plus_440,5,1436,90.82858950031626
NA,solo_duo_420_only,5,1382,87.41302972802023
NA,ranked_420_plus_440,10,1342,84.88298545224542
NA,solo_duo_420_only,10,1276,80.70841239721695
NA,ranked_420_plus_440,20,1200,75.90132827324479
NA,solo_duo_420_only,20,1129,71.41049968374446
NA,ranked_420_plus_440,30,1109,70.14547754585705
NA,solo_duo_420_only,30,1040,65.78115117014548
NA,ranked_420_plus_440,50,967,61.16382036685642
NA,solo_duo_420_only,50,905,57.24225173940544
NA,ranked_420_plus_440,75,801,50.66413662239089
NA,solo_duo_420_only,75,750,47.43833017077799
NA,ranked_420_plus_440,100,541,34.21884882985452
NA,solo_duo_420_only,100,500,31.625553447185325
KR,ranked_420_plus_440,1,1291,100.0
KR,solo_duo_420_only,1,1242,96.20449264136329
KR,ranked_420_plus_440,2,1232,95.42989930286599
KR,solo_duo_420_only,2,1163,90.0852052672347
KR,ranked_420_plus_440,3,1212,93.88071262587141
KR,solo_duo_420_only,3,1144,88.61347792408985
KR,ranked_420_plus_440,5,1177,91.1696359411309
KR,solo_duo_420_only,5,1110,85.97986057319908
KR,ranked_420_plus_440,10,1133,87.76142525174284
KR,solo_duo_420_only,10,1059,82.0294345468629
KR,ranked_420_plus_440,20,1053,81.56467854376453
KR,solo_duo_420_only,20,981,75.98760650658404
KR,ranked_420_plus_440,30,985,76.29744384198295
KR,solo_duo_420_only,30,919,71.18512780790086
KR,ranked_420_plus_440,50,888,68.78388845855926
KR,solo_duo_420_only,50,835,64.67854376452362
KR,ranked_420_plus_440,75,786,60.88303640588691
KR,solo_duo_420_only,75,722,55.92563903950426
KR,ranked_420_plus_440,100,537,41.59566227730441
KR,solo_duo_420_only,100,507,39.27188226181255
EU,ranked_420_plus_440,1,8297,100.0
EU,solo_duo_420_only,1,8234,99.24068940580933
EU,ranked_420_plus_440,2,8153,98.26443292756419
EU,solo_duo_420_only,2,8023,96.69760154272629
EU,ranked_420_plus_440,3,8071,97.2761239002049
EU,solo_duo_420_only,3,7931,95.58876702422562
EU,ranked_420_plus_440,5,7962,95.96239604676389
EU,solo_duo_420_only,5,7801,94.02193563938773
EU,ranked_420_plus_440,10,7601,91.6114258165602
EU,solo_duo_420_only,10,7372,88.85139206942269
EU,ranked_420_plus_440,20,7195,86.71809087622032
EU,solo_duo_420_only,20,6910,83.2831143786911
EU,ranked_420_plus_440,30,6809,82.06580691816319
EU,solo_duo_420_only,30,6475,78.04025551404122
EU,ranked_420_plus_440,50,6066,73.11076292635893
EU,solo_duo_420_only,50,5718,68.91647583463903
EU,ranked_420_plus_440,75,5224,62.96251657225503
EU,solo_duo_420_only,75,4848,58.43075810533928
EU,ranked_420_plus_440,100,4250,51.22333373508497
EU,solo_duo_420_only,100,3936,47.43883331324575
