source,team_position,player_match_rows,percent
NA,TOP,27677,21.677018147071955
NA,JUNGLE,27227,21.324571777661166
NA,MIDDLE,27176,21.28462785579461
NA,BOTTOM,23615,18.49560225252391
NA,UTILITY,21923,17.170403903539345
NA,,61,0.04777606340901793
KR,TOP,25089,20.806415498038696
KR,UTILITY,25042,20.767438196097295
KR,BOTTOM,23820,19.75402834562086
KR,JUNGLE,23307,19.328595241451946
KR,MIDDLE,23291,19.315326372705936
KR,,34,0.028196346085269067
EU,BOTTOM,202194,20.541469703480878
EU,MIDDLE,200441,20.363377394163084
EU,TOP,195398,19.851044527141045
EU,JUNGLE,195294,19.840478868174102
EU,UTILITY,190764,19.380263145864003
EU,,230,0.023366361176892496
