source,min_observed_matches,players,percent_of_observed_players
NA,1,7467,100.0
NA,2,1253,16.78050087049685
NA,3,472,6.321146377393866
NA,5,140,1.8749162983795367
NA,10,35,0.46872907459488417
NA,20,5,0.06696129637069774
NA,50,0,0.0
NA,100,0,0.0
KR,1,7591,100.0
KR,2,1097,14.451323936240284
KR,3,424,5.585561849558688
KR,5,155,2.0418917138716903
KR,10,34,0.4478988275589514
KR,20,5,0.06586747464102226
KR,50,0,0.0
KR,100,0,0.0
EU,1,7538,100.0
EU,2,1343,17.816396922260548
EU,3,472,6.261607853542054
EU,5,128,1.6980631467232687
EU,10,19,0.25205624834173523
EU,20,2,0.026532236667551074
EU,50,0,0.0
EU,100,0,0.0
