source,field,value,rows,percent
NA,team_position,MIDDLE,2000,20.0
NA,team_position,TOP,1999,19.99
NA,team_position,BOTTOM,1999,19.99
NA,team_position,JUNGLE,1998,19.98
NA,team_position,UTILITY,1997,19.97
NA,team_position,,7,0.07
NA,individual_position,JUNGLE,2007,20.07
NA,individual_position,MIDDLE,1999,19.99
NA,individual_position,TOP,1998,19.98
NA,individual_position,BOTTOM,1995,19.95
NA,individual_position,UTILITY,1994,19.94
NA,individual_position,Invalid,7,0.07
NA,lane,BOTTOM,3138,31.38
NA,lane,MIDDLE,1955,19.55
NA,lane,JUNGLE,1925,19.25
NA,lane,TOP,1742,17.42
NA,lane,NONE,1240,12.4
NA,role,SOLO,2982,29.82
NA,role,SUPPORT,2826,28.26
NA,role,NONE,1925,19.25
NA,role,CARRY,1546,15.46
NA,role,DUO,721,7.21
KR,team_position,JUNGLE,2000,20.0
KR,team_position,MIDDLE,2000,20.0
KR,team_position,UTILITY,2000,20.0
KR,team_position,TOP,1999,19.99
KR,team_position,BOTTOM,1999,19.99
KR,team_position,,2,0.02
KR,individual_position,JUNGLE,2017,20.17
KR,individual_position,BOTTOM,1999,19.99
KR,individual_position,TOP,1997,19.97
KR,individual_position,MIDDLE,1995,19.95
KR,individual_position,UTILITY,1990,19.9
KR,individual_position,Invalid,2,0.02
KR,lane,BOTTOM,3053,30.53
KR,lane,MIDDLE,1940,19.4
KR,lane,JUNGLE,1849,18.49
KR,lane,TOP,1688,16.88
KR,lane,NONE,1470,14.7
KR,role,SUPPORT,3019,30.19
KR,role,SOLO,2852,28.52
KR,role,NONE,1849,18.49
KR,role,CARRY,1498,14.98
KR,role,DUO,782,7.82
EU,team_position,MIDDLE,2000,20.0
EU,team_position,UTILITY,2000,20.0
EU,team_position,JUNGLE,1999,19.99
EU,team_position,TOP,1998,19.98
EU,team_position,BOTTOM,1996,19.96
EU,team_position,,7,0.07
EU,individual_position,JUNGLE,2011,20.11
EU,individual_position,MIDDLE,1998,19.98
EU,individual_position,TOP,1997,19.97
EU,individual_position,BOTTOM,1994,19.94
EU,individual_position,UTILITY,1993,19.93
EU,individual_position,Invalid,7,0.07
EU,lane,BOTTOM,3157,31.57
EU,lane,MIDDLE,1972,19.72
EU,lane,JUNGLE,1913,19.13
EU,lane,TOP,1788,17.88
EU,lane,NONE,1170,11.7
EU,role,SOLO,3003,30.03
EU,role,SUPPORT,2798,27.98
EU,role,NONE,1913,19.13
EU,role,CARRY,1565,15.65
EU,role,DUO,721,7.21
