source,column,present_in_table,missing_rows,missing_percent
NA,player_id,True,0,0.0
NA,match_id,True,0,0.0
NA,game_start_ms,True,0,0.0
NA,game_end_ms,True,0,0.0
NA,game_duration_s,True,0,0.0
NA,queue_id,True,0,0.0
NA,platform_id,True,0,0.0
NA,patch,True,0,0.0
NA,team_id,True,0,0.0
NA,participant_id,True,0,0.0
NA,win,True,0,0.0
NA,champion_id,True,0,0.0
NA,team_position,True,0,0.0
NA,individual_position,True,0,0.0
NA,kills,True,0,0.0
NA,deaths,True,0,0.0
NA,assists,True,0,0.0
NA,gold_earned,True,0,0.0
NA,total_damage_dealt_to_champions,True,0,0.0
NA,total_minions_killed,True,0,0.0
NA,neutral_minions_killed,True,0,0.0
NA,vision_score,True,0,0.0
NA,derived_kda,True,0,0.0
NA,derived_cs_per_min,True,0,0.0
NA,derived_gold_per_min,True,0,0.0
NA,derived_damage_to_champions_per_min,True,0,0.0
NA,challenge_kill_participation,True,190,1.9
NA,challenge_team_damage_percentage,True,20,0.2
NA,challenge_early_laning_phase_gold_exp_advantage,True,290,2.9
NA,challenge_laning_phase_gold_exp_advantage,True,340,3.4
NA,challenge_max_cs_advantage_on_lane_opponent,True,290,2.9
NA,challenge_max_level_lead_lane_opponent,True,290,2.9
NA,challenge_had_afk_teammate,True,9856,98.56
KR,player_id,True,0,0.0
KR,match_id,True,0,0.0
KR,game_start_ms,True,0,0.0
KR,game_end_ms,True,0,0.0
KR,game_duration_s,True,0,0.0
KR,queue_id,True,0,0.0
KR,platform_id,True,0,0.0
KR,patch,True,0,0.0
KR,team_id,True,0,0.0
KR,participant_id,True,0,0.0
KR,win,True,0,0.0
KR,champion_id,True,0,0.0
KR,team_position,True,0,0.0
KR,individual_position,True,0,0.0
KR,kills,True,0,0.0
KR,deaths,True,0,0.0
KR,assists,True,0,0.0
KR,gold_earned,True,0,0.0
KR,total_damage_dealt_to_champions,True,0,0.0
KR,total_minions_killed,True,0,0.0
KR,neutral_minions_killed,True,0,0.0
KR,vision_score,True,0,0.0
KR,derived_kda,True,0,0.0
KR,derived_cs_per_min,True,0,0.0
KR,derived_gold_per_min,True,0,0.0
KR,derived_damage_to_champions_per_min,True,0,0.0
KR,challenge_kill_participation,True,90,0.9
KR,challenge_team_damage_percentage,True,15,0.15
KR,challenge_early_laning_phase_gold_exp_advantage,True,130,1.3
KR,challenge_laning_phase_gold_exp_advantage,True,160,1.6
KR,challenge_max_cs_advantage_on_lane_opponent,True,120,1.2
KR,challenge_max_level_lead_lane_opponent,True,120,1.2
KR,challenge_had_afk_teammate,True,9912,99.12
EU,player_id,True,0,0.0
EU,match_id,True,0,0.0
EU,game_start_ms,True,0,0.0
EU,game_end_ms,True,0,0.0
EU,game_duration_s,True,0,0.0
EU,queue_id,True,0,0.0
EU,platform_id,True,0,0.0
EU,patch,True,0,0.0
EU,team_id,True,0,0.0
EU,participant_id,True,0,0.0
EU,win,True,0,0.0
EU,champion_id,True,0,0.0
EU,team_position,True,0,0.0
EU,individual_position,True,0,0.0
EU,kills,True,0,0.0
EU,deaths,True,0,0.0
EU,assists,True,0,0.0
EU,gold_earned,True,0,0.0
EU,total_damage_dealt_to_champions,True,0,0.0
EU,total_minions_killed,True,0,0.0
EU,neutral_minions_killed,True,0,0.0
EU,vision_score,True,0,0.0
EU,derived_kda,True,0,0.0
EU,derived_cs_per_min,True,0,0.0
EU,derived_gold_per_min,True,0,0.0
EU,derived_damage_to_champions_per_min,True,0,0.0
EU,challenge_kill_participation,True,155,1.55
EU,challenge_team_damage_percentage,True,35,0.35
EU,challenge_early_laning_phase_gold_exp_advantage,True,252,2.52
EU,challenge_laning_phase_gold_exp_advantage,True,272,2.72
EU,challenge_max_cs_advantage_on_lane_opponent,True,242,2.42
EU,challenge_max_level_lead_lane_opponent,True,242,2.42
EU,challenge_had_afk_teammate,True,9822,98.22
