seed_riot_id,status,distinct_puuids_seen,player_id
Lisqayny#5581,unresolved,0,
totoroll#SASE,resolved_unique,1,1132d3c6d114c5e22d89aea64121c373
SOMETHlNG WICKED#NA1,unresolved,0,
vbc#NA1,resolved_unique,1,715ffa3bfc3bb4962378df6e5a3a77b8
Floooofy#floof,unresolved,0,
Hylia#2022,unresolved,0,
cupofjoe#jaur,resolved_unique,1,e6068fb53f416bdde0a7dc54aef518fe
Kira54#NA1,resolved_unique,1,383b8abbe3a70afe88dcfd7cdf02d13d
九亿少女的噩梦#CN1,unresolved,0,
Haru Urara#하루우라라,resolved_unique,1,afaed9106749cc9592565b190b85b6f0
CrownSlayer#Ursus,resolved_unique,1,ae3f77ab82032728784bc5ca96d200e2
ggzzq#NA1,unresolved,0,
Riku#NA2,resolved_unique,1,4b92a3114650fca39304a0af3f43e52c
RemoveAutoFill#Now,resolved_unique,1,b73ae6f7b26cd081380bdff67223c69a
Dime por qué#NA1,resolved_unique,1,86a65c3ca39dc5da2d74e2b1a2c89e67
ComeChippyChippy#NA1,unresolved,0,
2409199#NA1,resolved_unique,1,1d6fe47c50c51e69c5922b32d6032c39
Snouii#aphy,unresolved,0,
ahtxft#NA1,resolved_unique,1,4e2c9a109941d485656c9f6cbe5a0bbd
贏得交易帳戶#666,resolved_unique,1,b99d2cdc08fc63f43675ed2d91199ee2
real eater#000,unresolved,0,
Dood Deed#NA1,resolved_unique,1,1ff07f929cf55789b4036accdea4b352
twinkytoes#twink,resolved_unique,1,f05543fc00eb9ae6689fec399f7a7f82
歪 日#0707,resolved_unique,1,da54482735c5fbb89e56b25a461a3f42
Data# 1,unresolved,0,
cel v2#NA1,resolved_unique,1,809a7b4a4900177d28202edab80ed87e
NSFWNY#NA1,resolved_unique,1,d8ae17caff931be086766b5a94d496e5
Schwarz#Ceyln,unresolved,0,
aether#勝ちにきぞ,unresolved,0,
감자조림#NA2,resolved_unique,1,8641f96440892ae0cc25aea93b0a083e
0CaptainDonut0#NA1,resolved_unique,1,f4b048492aaf261cce957bf29b0db86e
ecurB#000,resolved_unique,1,629b8f86ac03a4ac031a78e696e5f45a
poerking#NA1,resolved_unique,1,92e0e9080f7c39caf70c06fd2304348f
Seffindo#NA1,resolved_unique,1,b09f9b8a4c1d1d45327293e911867a0c
alliecantaim#love,resolved_unique,1,b947b1179d3487611ef76368a4dbaa2f
LunarDarkness#333,resolved_unique,1,3dc1d87664c9b3628a0feaa31bf38c36
Shiro#DANNY,resolved_unique,1,b242899b81d58cb55e17e517a2011d60
Eustace Eustank#prnce,resolved_unique,1,bb65e359398784d11b82d13c3b5bb9a2
Mouten#Muu,unresolved,0,
Aoki67#NA1,resolved_unique,1,271fb7139ceb8bc80259c56a30128efe
小 朴#PIAO,unresolved,0,
we trust the adc#NA1,resolved_unique,1,eddf22aa8f921bd120ab31b74ba74511
Yi Sun Shin Sea#NA1,resolved_unique,1,9ec91cf36123e867548adb315b04ff53
Ayikoe#Aiiki,resolved_unique,1,afec1edc9c4c123cfc67bbd85a6226f3
Chill#peen,resolved_unique,1,425d8bec6d5b1162302752bab979b699
CurlyLion#NA1,unresolved,0,
Kim ßob#NA1,resolved_unique,1,9212a6c34b59a6b3a15d0c193f632f73
ghosttager40#NA1,resolved_unique,1,4b5b16f3c1e9e45fbaac37aea9ac89be
Skippy Teapot#NA1,unresolved,0,
RycerzRabin#NA1,resolved_unique,1,f1bbafe357389476dfc334326a07d755
Rice In A Bowl#NA1,resolved_unique,1,dae9da46521fcbc46056da01d1f0f303
Exodia38183#5AUTO,resolved_unique,1,e4e7c126f4feb7666438dfdab4b63fdb
Hooked0nPhonics#NA1,resolved_unique,1,1db7b765cbaf96650a0f7d54fe369d48
Keitaro#flcl,resolved_unique,1,1f61742ae2cc338cc72b56416ca9a0b1
NahKnee#0303,resolved_unique,1,d7ea8cc2427930f85d57aeef751932ab
bndrew#222,unresolved,0,
ChineseSpy#CN007,resolved_unique,1,cd882bc58aa5b27908fccc30e09da231
MuchachoTaco65#NA1,resolved_unique,1,b87654a9d8063c48709c25142dace9d5
DanLeeFor3#NA 1,resolved_unique,1,a995447d16bcb14af41fe77f6532d920
Ropemaxxing#yspls,unresolved,0,
Ckirk211#NA1,resolved_unique,1,a223fc4a3e8b727da6bcc8b4d2d09178
bubblelift#nami,resolved_unique,1,a92b32b6136545405fc671603350c699
King Le#Soju,resolved_unique,1,de7e54086d41126a7eca107f744f9240
Fried Soap#NA1,resolved_unique,1,dc223c7fedae417ca44b6b60af716f03
Alkurai#NA1,resolved_unique,1,a915b69c566b4130be1dcbe5651ee1e6
FlamingBoss#NA1,resolved_unique,1,ea03ab1d51ca16d5282d868f4da0e140
Khyne#NA1,resolved_unique,1,3d9143283f81f3be82aa02e2779e69df
Spartannite#NA1,resolved_unique,1,63377180ff646ffba4972b37ce6126ba
Ahululululu#1738,resolved_unique,1,c40f53f9aa72b3c8ff9b6e038b11cf57
Twig#1l2l3,unresolved,0,
Drastical#NA1,unresolved,0,
Tankie#NA1,resolved_unique,1,518a5528f8e5f4bcbff33f4ef599841c
Cheeze Whizard#NA1,resolved_unique,1,56568124293dc38f6867003f7cfce261
Death84#NA1,resolved_unique,1,6f4b0dcf434b4594f3881183204fe468
boba#0824,resolved_unique,1,1e5c3ea71a8d24554b9c29c8a91ae989
TWUUU#3042,resolved_unique,1,325da0888e02383a22537876ad032b06
Shadow#Kha6,resolved_unique,1,087e6c8ebe4621f1b17d5c41e5600f58
Park Jihyo#케이팝,resolved_unique,1,b105cb3b14ba36ead944d5fda9df07b8
Kunai Girl#아칼리,resolved_unique,1,10684bcea6d5cfe759a3003c3e2eedbc
His Beauty#3531,resolved_unique,1,b610bf30aca76a55c458d3db6dcaf3d9
hardtochooseone#hndrx,resolved_unique,1,4f5739f53187ccb02b5e72fcfd20bc12
SirChenForyu#6076,unresolved,0,
Nuitthque#2758,resolved_unique,1,5141f2b04caff1029e44bdbe1113e0c9
yasuovippro123#duen,resolved_unique,1,eb34d5fadd0ca177da0f2f1f98998a21
JYL#2000,resolved_unique,1,6171c04fadd9e3fa8f5e1781f7e7c3e7
Mero#PEI,resolved_unique,1,44d6cb636ff406448dcc3d2585ea4028
yu222#NA1,resolved_unique,1,bbf0bfbcf19f343807ced3673beba0f7
suiqu#NA1,resolved_unique,1,c143f3fe33eac4f34b66b9c438db8c59
Edxn#Phel,resolved_unique,1,86a8dfefa567731098580f57e75cece5
