source,stage,check,problems
NA,canonical,duplicate_match_ids,0
NA,canonical,null_player_ids,0
NA,canonical,malformed_player_ids,0
NA,canonical,matches_not_10_unique_participants,0
NA,canonical,matches_not_2_teams,0
NA,tracking_lookup,duplicate_alias_confirmed_ids,0
NA,tracking_lookup,duplicate_authoritative_ids,0
NA,tracking_lookup,alias_confirmed_not_in_authoritative,0
KR,canonical,duplicate_match_ids,0
KR,canonical,null_player_ids,0
KR,canonical,malformed_player_ids,0
KR,canonical,matches_not_10_unique_participants,0
KR,canonical,matches_not_2_teams,0
KR,tracking_lookup,duplicate_alias_confirmed_ids,0
KR,tracking_lookup,duplicate_authoritative_ids,0
KR,tracking_lookup,alias_confirmed_not_in_authoritative,0
EU,canonical,duplicate_match_ids,0
EU,canonical,null_player_ids,0
EU,canonical,malformed_player_ids,0
EU,canonical,matches_not_10_unique_participants,0
EU,canonical,matches_not_2_teams,0
EU,tracking_lookup,duplicate_alias_confirmed_ids,0
EU,tracking_lookup,duplicate_authoritative_ids,0
EU,tracking_lookup,alias_confirmed_not_in_authoritative,0
