source,cohort,tracked_players_in_match,matches,percent
NA,alias_confirmed,0,46932,67.6321819203666
NA,alias_confirmed,1,22310,32.1502168806652
NA,alias_confirmed,2,151,0.21760119896819563
NA,authoritative,1,44582,64.24567319470263
NA,authoritative,2,9532,13.736255818310203
NA,authoritative,3+,15279,22.01807098698716
KR,alias_confirmed,0,190,0.3095420406966325
KR,alias_confirmed,1,37831,61.63307863997002
KR,alias_confirmed,2,7720,12.577181864094753
KR,alias_confirmed,3+,15640,25.480197455238592
KR,authoritative,1,37991,61.89374562160929
KR,authoritative,2,7727,12.58858604454147
KR,authoritative,3+,15663,25.517668333849237
EU,alias_confirmed,0,102482,27.97547553012601
EU,alias_confirmed,1,150091,40.97175209102225
EU,alias_confirmed,2,44714,12.206001179271036
EU,alias_confirmed,3+,69041,18.846771199580704
EU,authoritative,0,181,0.04940927256447773
EU,authoritative,1,178354,48.68696905505449
EU,authoritative,2,68948,18.82138411478238
EU,authoritative,3+,118845,32.44223755759865
